Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[The Rixey](https://www.apartments.com/the-rixey-arlington-va/8lfc231/),844-706-5530,"[1000 N Glebe Rd, Arlington, VA 22201](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1000+N+Glebe+Rd,+Arlington,+VA+22201/data=!4m2!4m1!3e2)",544 Sq Ft,"$1,895 - 3,790","* Unassigned Garage Parking: $100
* Cat Rent: $50
* Dog Rent: $50","* Amenity Fee: $400
* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500",No Pets Allowed,50,50,"Garage: $100
267 spaces. 1st space 100, 2nd space 125. All FCFS.",* Fitness Center,,"* Individual Climate Control
* Large Closets","* High Speed Internet Access
* Air Conditioning
* Smoke Free
* Wheelchair Accessible (Rooms)",,,"* Package Service
* Community-Wide WiFi
* Maintenance on site
* Concierge
* 24 Hour Availability
* Recycling
* Guest Apartment
* Pet Washing Station","* Built in 2017
* 290 Units/15 Stories","* Elevator
* Storage Space","* Rooftop Lounge
* Courtyard",,"Brand new Ballston apartments now leasing. The Rixey gives you the perfect location to all that Arlington and DC has to offer. Just a few blocks to the Ballston-MU metro station, a quick metro ride can get you to downtown DC, while a quick drive can get you directly to Georgetown and all its historic charm. The Rixey is surrounded by a multitude of dining, shopping, and entertainment options while still having the peace and quiet of the Ballston neighborhood. The Rixey brings an essence of city living to Ballston."
[Pike 3400](https://www.apartments.com/pike-3400-arlington-va/8d4ezc3/),844-810-7539,"[3400 Columbia Pike, Arlington, VA 22204](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3400+Columbia+Pike,+Arlington,+VA+22204/data=!4m2!4m1!3e2)",677 Sq Ft,"$1,640 - 3,645","* Unassigned Garage Parking: $95
* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Amenity Fee: $400
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500",No Pets Allowed,50,50,"Garage: $95
1 space.","* Fitness Center
* Weight Machines
* Pool
* Bike Storage","* Dishwasher
* Microwave
* Range","* Balconies available
* BARK: pet-friendly living
* Expansive windows
* Full-sized washer and dryer
* granite countertops
* Large Closets
* lofts and flats with street-level entry
* lounge seating, bar, fountain
* PEDAL: convenient bike storage available
* RELAX: unique courtyards with fire pit
* Spacious, open floor plans
* stainless steel appliances
* State-of-the-art VRF HVAC system
* SWIM: outdoor, resort-style pool","* High Speed Internet Access
* Washer/Dryer
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower",* Walk-In Closets,"12 months, 13 months, 14 months, 15 months, 16 months, 17 months, 18 months","* Package Service
* Community-Wide WiFi
* Maintenance on site
* Recycling
* Pet Washing Station","* Built in 2015
* 257 Units/5 Stories","* Elevator
* Business Center
* Clubhouse
* Storage Space",* Gated,,"Welcome to Pike 3400. At the intersection of here & now, Pike 3400 is a brand new Columbia Pike apartment community that is perfectly positioned near all of the places you want to be. Located at the corner of Glebe Road and Columbia Pike in Arlington, you?ll find dining, shopping and entertainment right outside your front door. From enjoying dinner at our on-site restaurants, to the short drive into D.C., you?ll find nothing is out of reach at Pike 3400."
[Union on Queen](https://www.apartments.com/union-on-queen-arlington-va/l80p54g/),844-868-4071,"[1515 N Queen St, Arlington, VA 22209](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1515+N+Queen+St,+Arlington,+VA+22209/data=!4m2!4m1!3e2)",677 Sq Ft,"$2,085 - 3,522","* Storage Fee: $50
* Unassigned Garage Parking: $150
* Cat Rent: $50
* Dog Rent: $50","* Amenity Fee: $500
* Application Fee: $50
* Cat Fee: $50
* Dog Fee: $50","Dogs Allowed:
Please see list of Restricted Breeds at Bozzuto communities. Pet fees and restrictions may apply. See leasing agent for details 
* $50 Monthly Pet Rent
* $50 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,Covered,"* Fitness Center
* Bike Storage",,"* Bocce Court
* DC Monument Views
* E-lounge Bar
* Genius Bar
* High Ceilings
* Independence Day Fireworks View
* Individual Climate Control
* Keyless entry system
* Large Closets
* Resident Lounge Fireplace
* Roof Top Fire Pit","* High Speed Internet Access
* Air Conditioning
* Heating
* Wheelchair Accessible (Rooms)",,,"* Package Service
* Community-Wide WiFi
* Maintenance on site
* Bilingual
* Recycling
* LEED Rating
* Energy Star Certified
* Pet Washing Station
* Car Charging Station","* Built in 2016
* 193 Units/12 Stories
* LEED Certified Silver","* Elevator
* Business Center
* Clubhouse
* Lounge
* Storage Space
* Conference Room","* Rooftop Lounge
* Sundeck
* Courtyard",,"COME TOGETHER. LIVE BETTER. Welcome to Union on Queen, a modern community where you can connect & thrive. With expansive living areas, this naturally welcoming space has it all: a genius bar, e-lounge, private conference rooms, a stylish club room & open kitchen ? perfect for everyday lounging, socializing, or occasional hosting. Work out in the fully-wired fitness center or visit the cozy rooftop for Monument views. Union on Queen gives you an all access pass to the best DC & VA have to offer. Arlington and Rosslyn offer retail essentials, while Courthouse hosts unique diversions and restaurants. Need a lift? The Orange, Blue and Silver Metro lines will get you connected in minutes. Ready to hit the open road? Routes 50, I-66 and the George Washington Parkway are yours for the taking. Best of all, a 20 minute walk over the Key Bridge puts you right in historic Georgetown."
[Ten At Clarendon](https://www.apartments.com/ten-at-clarendon-arlington-va/m79gctk/),571-317-1295,"[3110 10th St N, Arlington, VA 22201](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3110+10th+St+N,+Arlington,+VA+22201/data=!4m2!4m1!3e2)",479 Sq Ft,"$2,070 - 6,050","* Storage Fee: $50
* Assigned Garage Parking: $150
* Cat Rent: $100
* Dog Rent: $100
* Gas, Trash Removal: Included","* Admin Fee: $500
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
We are a pet friendly community. We welcome up to 2 pets per apartment home. We accept cats and dogs. There is a $50 monthly pet rent per pet. There is also a $500 one time pet fee for your first pet and an additional $300 one time pet fee for your second pet. Please call our leasing office for complete pet policy. $50 monthly per pet. $500 non-refundable fee for one pet, $800 for two pets 
* $100 Monthly Pet Rent
* $500 Fee
* 2 Pet Limit
* Must Be Spayed/Neutered",50,50,"Garage: $150
1 space; Assigned Parking. Assigned garage parking space(s) are available for $150 per month per vehicle. Please call our leasing office for parking policy.","* Fitness Center
* Fitness Programs
* Cardio Machines
* Free Weights
* Weight Machines
* Bike Storage","* Dishwasher
* Disposal
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Refrigerator","* Additional Storage
* Air Conditioning
* Attached and Detached Garages
* Built-in USB and HDMI ports
* City skyline view
* City View
* Club Discount
* Concierge
* Controlled Access
* Courtyard
* Customizable Elfa Closet System
* Disposal
* Garage
* Hardwood laminate flooring
* Heated bathroom flooring*
* Heated Floor
* High Speed Internet
* Indoor/Outdoor Storage
* In-lobby Fresh Market
* Keyless apartment entry
* Laundry
* Lending Library-borrow dozens of items
* Lobby Market
* Nest thermostats
* On-Site Maintenance
* Outdoor Fireplaces
* Package Concierge Delivery System
* Package Receiving
* Perx at Ten - Discounts at local shops
* Private Balcony
* Quartz Countertops
* Rec Room
* Rooftop Deck
* Rooftop Garden
* Rooftop herb and produce garden
* Rooftop Lounge
* Single Family Home
* Sm. Balcony (BAL)
* Total access-wifi included throughout
* TV Lounge
* Unfurnished
* View","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower
* Sprinkler System
* Wheelchair Accessible (Rooms)",* Hardwood Floors,Variable,"* Package Service
* Community-Wide WiFi
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Concierge
* Video Patrol
* 24 Hour Availability
* On-Site Retail
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* Online Services
* LEED Rating
* Energy Star Certified
* Local Vet / Pet Store Discount
* Pet Care
* Pet Washing Station","* Built in 2017
* 137 Units/5 Stories","* Elevator
* Clubhouse
* Lounge
* Multi Use Room
* Storage Space
* Library","* Rooftop Lounge
* Courtyard
* Grill
* Zen Garden",,"It's time for something new - a new way to live, a new space to connect, a new place to call home. It's time for the Ten at Clarendon. With innovative spaces, creative amenities and an emphasis on sustainability and technology, the Ten delivers extraordinary Clarendon apartment living."
[The Hyde](https://www.apartments.com/the-hyde-arlington-va/8wgnee0/),703-592-6382,"[3119 9th Rd N, Arlington, VA 22201](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3119+9th+Rd+N,+Arlington,+VA+22201/data=!4m2!4m1!3e2)",799 Sq Ft,"$2,900 - 5,000","* Unassigned Garage Parking: $150 - 200
* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $500
* Application Fee: $50
* Cat Deposit: $500
* Dog Deposit: $500","Dogs and Cats Allowed:
We are a pet friendly community. Please contact leasing office for complete pet policy details. 
* $500 Deposit
* $50 Monthly Pet Rent
* 45 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $150 - 200
2 spaces. Reserved parking garage available for each unit for $150 per month.",* Fitness Center,"* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Warming Drawer","* Air conditioning - central air
* Butterfly MMX Entry System
* Controlled building access
* Courtyard
* Full Overlay Cabinetry
* Heat
* Keyless Entry
* Lobby Market
* Nest Thermostats
* Pet Friendly
* Plank Flooring Throughout
* Quartz Countertops
* Rec Room
* Rooftop Garden
* Rooftop Lounge
* TV Lounge
* Full-size washer/dryer
* Garage
* Heated Bathroom Floors in Select Homes
* Private Patio/Balcony
* Range/Oven
* Storage Space
* View
* Window Coverings","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Tile Floors
* Den
* Walk-In Closets
* Linen Closet
* Window Coverings",None,"* Package Service
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Recycling
* Planned Social Activities
* Health Club Discount
* Pet Care
* Pet Washing Station
* Parking Security","* Built in 2015
* 18 Units/4 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Storage Space",* Sundeck,,"Renting brand new doesn't have to mean boring. The Hyde's apartments give traditional materials a modern flair while offering premium finishes and ample (indoor and outdoor) living space. Our homes will leave you feeling inspired, without the do-it-yourself headaches."
[Parc Rosslyn](https://www.apartments.com/parc-rosslyn-arlington-va/fbe5kvs/),844-398-6442,"[1531 N Pierce St, Arlington, VA 22209](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1531+N+Pierce+St,+Arlington,+VA+22209/data=!4m2!4m1!3e2)",956 Sq Ft,"$1,708 - 3,968","* Unassigned Garage Parking: $125
* Cat Rent: $100
* Dog Rent: $100","* Admin Fee: $400
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
We accept both cats and dogs with a $500 non-refundable pet fee for up to 2 pets. Pet rent is $50 per month (per pet). Renters insurance is required for dogs. Maximum of 2 pets per apartment. Breed restrictions apply. Please call our leasing office for more details. 
* $100 Monthly Pet Rent
* $500 Fee
* 2 Pet Limit",50,50,Covered,* Fitness Center,,"* 24-Hour emergency maintenance
* Business Center/Conference Room with WiFi
* Ceiling Fans
* Concierge Services
* Controlled Building Access
* Easy Access to Route 50, George Washington ...
* Easy Access to Route 50, George Washington Pkwy, and Route 66
* Indoor Bike Storage
* Package Acceptance
* Pet Friendly
* Prewired for Cable & Internet
* Private Courtyard with BBQ Area
* Refreshing Rooftop Pool
* Top Floor Clubroom with Wi-Fi
* Valet Dry Cleaning Service
* Walking distance to Courthouse and Rosslyn ...
* Walking distance to Courthouse and Rosslyn Metro stations
* Custom Wood Cabinetry
* DC View
* Granite Countertops
* LEED Certified
* Park View
* Pierce View
* Pierce/Rt. 50 View
* Rt. 50 View
* Stylish Black Appliances
* Tiled Kitchens and Entryways",* High Speed Internet Access,,Variable,,"* Built in 2008
* 138 Units/15 Stories",* Clubhouse,,,"Introducing modern apartment homes, which allow you to live in an upscale environment that is actually good for the environment. Parc Rosslyn gives you all the luxury you deserve with special earth-friendly touches our planet needs. Perfectly located, stylishly designed and LEED certified, this is modern living done right. Enjoy our convenient location in the heart of Rosslyn where you will find all the best shops, dining and entertainment. If you would like to venture out, you can walk to the Courthouse and Rosslyn Metro stations! You will also love the stunning views of the DC skyline and the National Mall. We have beautiful, open floor plans that are great for entertaining with fine finishes and architectural details. Welcome to your new Parc Rosslyn luxury apartment home. Your friends will be green with envy."
[2001 Clarendon Blvd](https://www.apartments.com/2001-clarendon-blvd-arlington-va/9s0w5z6/),703-774-9529,"[2001 Clarendon Blvd, Arlington, VA 22201](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2001+Clarendon+Blvd,+Arlington,+VA+22201/data=!4m2!4m1!3e2)",707 Sq Ft,"$2,109 - 8,200","* Cat Rent: $50
* Dog Rent: $50","* Amenity Fee: $500
* Application Fee: $50
* Cat Fee: $500
* Cat Deposit: $500
* Dog Fee: $500
* Dog Deposit: $500",Pets Negotiable,50,50,"Garage
Assigned Parking. There is a $150 fee per month for single spots, $250 fee per month for tandem spots",* Fitness Center,,"* 24-hour Concierge
* 24hr. Emergency maintenance
* BBQ/Picnic Area
* Bike Storage and Repair Center
* Conference Room
* Controlled building access
* Cyber Lounge
* Fitness On Demand
* High-speed internet access
* Intercom entry system
* On-site Concierge
* Parking structure-not reserved
* Rentable Storage Areas
* Resident Social Events
* Rooftop Lounge
* Rooftop Pool with City Views
* Rooftop Terrace with Bbq grill
* Walk Score - 89
* Walk to Restuarants & Shopping
* Washer/Dryer in Unit
* Yoga & Stretching Room",* High Speed Internet Access,,None,"* Maintenance on site
* Pet Care","* Built in 2014
* 154 Units/6 Stories",* Elevator,,,"Discover room to live at 2001 Clarendon. From terraces and patios to rooftop pool and fitness center with Fitness On Demand, you will find generous space to enjoy every moment in your corner of Arlington. With the Court House Metro station just a block away and a myriad of shops and restaurants within walking distance, you are guaranteed to have plenty of room to roam whenever you want. FIND YOUR SPACE AT 2001 CLARENDON BLVD. Please call for an appointment today!"
[The Point at Pentagon City](https://www.apartments.com/the-point-at-pentagon-city-arlington-va/0ktml30/),877-900-0186,"[1201 S Eads St, Arlington, VA 22202](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1201+S+Eads+St,+Arlington,+VA+22202/data=!4m2!4m1!3e2)",758 Sq Ft,"$1,487 - 2,337","* Unassigned Garage Parking: $165
* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $50
* Cat Fee: $500 - 800
* Dog Fee: $500 - 800","Dogs and Cats Allowed:
Breed Restrictions Apply. 
* $50 Monthly Pet Rent
* $500 - 800 Fee
* 2 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $165
1 space. Reserved & Unreserved","* Fitness Center
* Pool","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* 24-hour Emergency Maintenance
* Balconies and patios
* BBQ Grill and Picnic Area
* Coffee Bar
* Controlled building access
* Dog Park
* Full size washer and dryer
* On-site Storage Facilities
* Pet-friendly
* Professional Management
* Reserved Parking
* Swimming Pool","* High Speed Internet Access
* Washer/Dryer
* Cable Ready","* Den
* Views
* Window Coverings",Variable,,"* Built in 1981
* 348 Units/19 Stories","* Business Center
* Clubhouse","* Courtyard
* Picnic Area",,"At The Point at Pentagon City, enjoy living in a Pentagon City apartment that has everything that you have been looking for. These renovated studio, one and two-bedroom apartments include available accent walls, new kitchens with stainless steel appliances, granite-style countertops and ceramic tile. The sweeping balconies in each apartment bring sensational views to your living room. Spacious and modern - you'll find what you're looking for at The Point at Pentagon City. Please call for an appointment today."
[Tellus](https://www.apartments.com/tellus-arlington-va/4n6df1h/),844-790-7011,"[2009 14th St N, Arlington, VA 22201](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2009+14th+St+N,+Arlington,+VA+22201/data=!4m2!4m1!3e2)",538 Sq Ft,"$1,470 - 4,447","* Storage Fee: $50
* Unassigned Garage Parking: $125 - 175
* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $500
* Application Fee: $50
* Cat Fee: $500
* Dog Fee: $500","Dogs and Cats Allowed:
We welcome 2 pets per apartment home. There is a weight limit of 70 pounds. Breed restrictions apply. Please contact leasing office for complete pet policy details. 
* $50 Monthly Pet Rent
* $500 Fee
* 70 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $125 - 175
1 space. Garage Parking - Underground available. Please contact leasing office for complete details.",* Fitness Center,,"* Community Grill/BBQ Area
* Courtyard
* Electric Car Charging Station
* Fire Pit
* Front Desk - Variable Hours
* Garage Parking - Underground
* Intercom entry system
* Limited Access Buildings
* Resident Pub/Lounge
* Swimming Pool-Rooftop/Terrace
* Top-of-the-line rooftop pool
* Walk to bus line
* Walk to Metro/Subway
* WiFi - Common Areas",* High Speed Internet Access,,None,* Pet Care,"* Built in 2014
* 254 Units/16 Stories
* LEED Certified Gold",* Business Center,,,"Luxury eco friendly studio, one, and two bedroom apartment rentals loaded with modern amenities. Tellus boasts a long list of impressive energy efficient sustainable living features, and smart home living, in the heart of Arlington VA. Designed for the discerning renter seeking high-style modern living in an amazing locale in the heart of a shopping, dining, and entertainment district minutes from Washington DC. It's easy being green at LEED Gold Tellus, where smart living is the new norm."
[Shirlington House](https://www.apartments.com/shirlington-house-arlington-va/cvv2l4d/),571-366-8879,"[4201 31st St S, Arlington, VA 22206](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4201+31st+St+S,+Arlington,+VA+22206/data=!4m2!4m1!3e2)",850 Sq Ft,"$1,596 - 1,925","* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $300
* Application Fee: $65
* Cat Fee: $350
* Dog Fee: $350","Dogs Allowed:
Breed Restrictions 
* $50 Monthly Pet Rent
* $350 Fee
* 65 lb Weight Limit
* 2 Pet Limit",50,50,Covered,"* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Pool","* Dishwasher
* Disposal
* Microwave
* Oven
* Range
* Refrigerator","* 24 - Hour Fitness Center
* 24 - Hour Resident Concierge with Package Receivin
* All Utilities Included with your new Home!
* Capital Bikeshare Program Nearby
* Coming Soon! Bocce Ball Court
* Coming Soon! Brand New Resident Fitness Center
* Coming Soon! Fire Pit with Seating
* Coming Soon! Outdoor Chef's Kitchen with Seating
* Coming Soon! Updated Covered Resident Parking
* Complimentary Wi-Fi in Common Areas
* Controlled Building Access
* Conveniently Located to I-395 & George Washington
* Covered Parking
* Dog Park with Agility Course
* Highly Desired School District
* Laundry & Trash Facilities Located on each Floor
* Located with-in Walking Distance of Shirlington Vi
* Miles of Bike Trails and a Children's Playground S
* On-site Convenience Store
* Pet Park with Agility Course
* Plush Green Spaces with Mature Landscaping
* Resident BBQ Areas
* Resident Bike Storage
* Swimming Pool with Sun Deck
* WiFi Available","* Air Conditioning
* Heating
* Ceiling Fans
* Tub/Shower","* Carpet
* Dining Room
* Walk-In Closets",,"* Package Service
* Laundry Facilities
* Maintenance on site
* Concierge
* 24 Hour Availability
* Pet Play Area","* Built in 1963
* 439 Units/7 Stories",* Elevator,* Sundeck,,"Ask about our Newly Renovated Apartment Homes! Welcome to Shirlington House, traditional high rise apartments, located in the urban The Village of Shirlington in Arlington, VA. An area that was developed in the 1940's as one of the first shopping centers in the country, you will appreciate the pedestrian-friendly village with walkability to the Washington-Old Dominion bike trail and Four Mile run trail, as well as Fort Reynolds park. Spend an afternoon exploring the locally owned shops and restaurants home to some of the District's best eats. Or indulge your need for culture at the nationally recognized Signature Theatre or read a book at The Village Library. Shirlington's Transit Station is minutes from your front door to easily get you to the Pentagon Metro, I-395 takes you straight into DC or drive into Old Town Alexandria in just minutes. Shirlington House offers classic and newly renovated studio, one and two bedroom apartment homes. Our many amenities include a 24-Hour Concierge with Package Receiving, large pet park with agility course, refreshing swimming pool with sun deck and new seating, an on-site convenience store, reserved and covered parking, and 24-Hour fitness center. From your home enjoy views of Washington, DC and the Northern Virginia suburbs in spacious floorplans with large expansive windows, soaring 9 ft ceilings* and a white appliance package. A select few of our homes offer walk in closets. Discover Apartment Living At Its Best and reserve your home today!"
