Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[The Elms at Signal Hill Station](https://www.apartments.com/the-elms-at-signal-hill-station-manassas-va/ews5ypm/),571-341-5142,"[8825 Peregrine Heights Rd, Manassas, VA 20111](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8825+Peregrine+Heights+Rd,+Manassas,+VA+20111/data=!4m2!4m1!3e2)",842 Sq Ft,"$1,325 - 2,085","* Unassigned Garage Parking: $175
* Cat Rent: $40
* Dog Rent: $40","* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs and Cats Allowed:
We welcome a 2 pet maximum per apartment, not to exceed 100 lbs total weight of one dog. Some breed restrictions are prohibited & all pets are subject to the approval of management. Pet deposits are non-refundable and monthly pet rent amounts are per pet. Specifics regarding pet's breed, weight, proof of rabies documentation from your vet & a photo of your pet will be required prior to move-in. 
* $40 Monthly Pet Rent
* $400 Fee
* 100 lb Weight Limit
* 2 Pet Limit",50,50,"Garage: $175
Private garage parking available. $175 per month. Up to 30 maximum slots each.",* Fitness Center,"* Dishwasher
* Microwave","* 24hr. Emergency maintenance
* Business center with equipment
* Fitness On Demand
* Personalized Resident Services
* Select Smoke-free Buildings
* Sparkling swimming pool
* Walking distance to VRE
* Yoga & Stretching Room
* Full-size washer/dryer
* Garbage disposal
* Granite countertop
* Patio or balcony
* Refrigerator with ice maker
* Track lighting",* High Speed Internet Access,,Variable,"* Maintenance on site
* Pet Care","* Built in 2015
* 296 Units/4 Stories",,,,"Location, space, service and style can all be yours at The Elms at Signal Hill Station. You will love everything you find at these brand new apartments in Manassas. Just steps from the Manassas Park VRE station, The Elms at Signal Hill Station is perfectly located. Not only will you enjoy easy commutes, you will also be minutes from shopping, dining and outdoor recreation. Best of all, you will have the apartment home that is right for you. We provide exceptional customer service, beautifully spacious apartments and amazing amenities including a yoga room with Fitness on Demand, a cyber cafe, a resort-style pool, a tot lot and more. Live at The Elms at Signal Hill and discover why Legend Management Group is one of the nations most distinguished property management companies."
[TGM Sudley Crossing](https://www.apartments.com/tgm-sudley-crossing-manassas-va/z6xe33w/),844-359-0405,"[10819 Gambril Dr, Manassas, VA 20109](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/10819+Gambril+Dr,+Manassas,+VA+20109/data=!4m2!4m1!3e2)",727 Sq Ft,"$1,235 - 1,580",,"* Application Fee: $50
* Cat Fee: $300
* Dog Fee: $300","Dogs and Cats Allowed:
Fees: $250-$300 non-refundable pet fee (per pet) $35/month pet rent (per pet) Breed restrictions apply. Fees: $250-$300 non-refundable pet fee (per pet) $35/month pet rent (per pet). 2 pet maximum with combined weight of 75lbs. At TGM Sudley Crossing Apartments, we proudly welcome pets! In fact, your pet will feel right at home here. We know how important your pets are to you, so our community includes amenities to make sure you and your pet get the most out of your TGM ... 
* $300 Fee
* 75 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Free Weights
* Spa
* Pool
* Playground
* Tennis Court","* Dishwasher
* Disposal
* Microwave
* Range
* Refrigerator","* Car wash area
* Children’s pool
* Children's pool
* Cyber-cafe / Resident lounge**
* Cyber-café / Resident lounge**
* Gourmet kitchen with breakfast room or ...
* Gourmet kitchen with breakfast room or breakfast bar
* Hiking and jogging trails
* Olympic-size swimming pool
* Pet-friendly community
* Premiere 1 and 2 bedroom apartment homes
* Renovated kitchens and baths
* Spacious eat-in kitchen
* Spacious open floor plans
* State-of-the-Art Athletic Club
* Two(2) on-site dog parks
* Washer and dryer in every home
* Whirlpool energy-saving appliances","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans",* Walk-In Closets,"3 months,6 months,12 months","* Package Service
* Maintenance on site","* Built in 1987
* 432 Units/3 Stories","* Business Center
* Clubhouse
* Lounge",* Sundeck,,"TGM Sudley Crossing Apartments feature premiere 1 and 2 bedroom apartments with gourmet eat-in kitchens, breakfast rooms and bars, and equipped with washers and dryers in every home. Enjoy the community's Olympic-size swimming pool, resident lounge and cyber-cafe, 24-hour athletic club with key fob access, childrens pool and outdoor spa, tennis courts, and daily complimentary coffee and cookies. Best of all, experience the quality resident services provided by TGM Communities. In addition, your pets are welcome here! The immediate neighborhood features popular retail, shopping and entertainment centers including The Manassas Mall with Macys, JC Penney, Sears, and WalMart and down the street is Bull Run Plaza with Dicks Sporting Goods, Shopper's Food Warehouse, Sweet Frog, and many others. Best Buy, Lowe's, and Costco are nearby as well. Enjoy great dining, events, and attractions in Old Town Manassas. Experience better living at TGM Communities - welcome to TGM Sudley Crossing!"
[The Point at Park Station](https://www.apartments.com/the-point-at-park-station-manassas-va/02tt063/),571-921-9897,"[9430 Russia Branch View Dr, Manassas, VA 20111](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9430+Russia+Branch+View+Dr,+Manassas,+VA+20111/data=!4m2!4m1!3e2)",692 Sq Ft,"$1,214 - 2,041","* Unassigned Garage Parking: $125
* Cat Rent: $40
* Dog Rent: $40","* Admin Fee: $200
* Application Fee: $50
* Cat Fee: $550
* Dog Fee: $500","Dogs Allowed:
$400 -$550 pet fee (non-refundable)Restrictions apply. 
* $40 Monthly Pet Rent
* $500 Fee
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Playground",,"* 24hr. Emergency Maintenance
* Barbeque Grill Areas
* Coffee Bar
* Pet-friendly
* Private attached and detached
* Swimming Pool
* Walking distance to the VRE",* High Speed Internet Access,,Variable,,"* Built in 2004
* 350 Units/3 Stories","* Business Center
* Clubhouse",,,"The Point at Park Station radiates warmth, comfort, and ease from the moment you approach the lush, gorgeous surroundings. The legendary look of traditional style and the elegant feel of clean architectural lines compose the best residential community in Manassas Park, Virginia. We are a pet friendly community that is located minutes from Route 28, near the VRE and in close proximity to Dulles Airport and Lockheed Martin. Situated in one of the country's most desirable places to live and work, this stunning apartment community reveals comfort and style with built in bookcases and gas fireplaces. You can unwind while soaking in your very own over-sized tub. Come visit us today and find out why Park Station is everything you desire in a home. Please call for an appointment today."
[Amberton](https://www.apartments.com/amberton-manassas-va/sdngf16/),877-242-8214,"[11989 Coverstone Hill Cir, Manassas, VA 20109](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11989+Coverstone+Hill+Cir,+Manassas,+VA+20109/data=!4m2!4m1!3e2)",622 Sq Ft,"$1,158 - 1,646","* Cat Rent: $40
* Dog Rent: $40","* Admin Fee: $350
* Application Fee: $50
* Cat Deposit: $400
* Dog Deposit: $400","Dogs and Cats Allowed:
""The following breed restriction list include dogs that are known to be aggressive toward strangers and/or children, or to be destructive in indoor environments. Pets that contain a mix of any of the breeds listed are not permitted: American Bulldog, American Pit Bull Terrier, American Staffordshire Terrier, Bull Terrier, Chow-Chow, Rottweiler, and Staffordshire Bull Terrier.""Call for pet details. 
* $400 Deposit
* $40 Monthly Pet Rent
* 2 Pet Limit",50,50,Surface Lot,"* Fitness Center
* Weight Machines
* Sauna
* Spa
* Pool","* Dishwasher
* Disposal
* Oven
* Refrigerator","* BBQ and Picnic Area
* High Speed Internet Available
* Near Public Transit
* Outdoor Swimming Pool
* Parking
* Storage Spaces Available","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower
* Fireplace","* Carpet
* Vinyl Flooring
* Built-In Bookshelves
* Walk-In Closets",Variable,"* Wi-Fi at Pool and Clubhouse
* Maintenance on site
* Property Manager on Site
* Pet Care
* Pet Play Area","* Built in 1985
* 190 Units/3 Stories","* Clubhouse
* Coffee Bar",* Picnic Area,,"Amberton Apartments offers the apartments in Manassas you've been looking for and didn't expect to find. These luxury apartments in Virginia are perfectly situated, just a mile off I-66 and within minutes of shopping, dining and entertainment, including Sudley Manor Square Shopping Center, Manassas Mall and some of the most beautiful golf courses, parks and historic sites in the state. For even more, head into nearby Arlington, VA or Washington, DC for a seemingly unlimited array of nightlife, shopping and cultural landmarks. The Manassas apartments for rent at Amberton make getting around easier than ever. With its natural beauty and convenience to one of the most important metropolitan areas in the world, Manassas is a great place to live. Make the most of this extraordinary town by moving to Amberton. Please call for an appointment today."
[The Point at Bull Run](https://www.apartments.com/the-point-at-bull-run-manassas-va/v4r4r0e/),571-292-3141,"[10519 Lariat Ln, Manassas, VA 20109](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/10519+Lariat+Ln,+Manassas,+VA+20109/data=!4m2!4m1!3e2)",714 Sq Ft,"$1,143 - 1,578","* Cat Rent: $40
* Dog Rent: $40
* Gas, Water, Trash Removal: Included","* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs and Cats Allowed:
Pet-friendly. Breed restrictions apply. Please call for details. 
* $40 Monthly Pet Rent
* $400 Fee
* 2 Pet Limit",50,50,"Surface Lot
Parking Lot.","* Fitness Center
* Sauna
* Playground
* Tennis Court","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Microwave
* Oven
* Refrigerator
* Freezer","* 24hr. Emergency Maintenance
* Barbeque Grill Areas
* BBQ Grill and Picnic Area
* Car care center for keeping your car looking ...
* Car care center for keeping your car looking its best
* Coffee Bar
* Community tennis court
* Free Parking
* Jr. Olympic-sized swimming pool with outdoor ...
* Jr. Olympic-sized swimming pool with outdoor hot tub
* On-site Storage Facilities
* Park-like setting on 34 acres of wooded land
* Pet-friendly
* Professional Management
* New energy-efficient windows
* Washer & Dryer Stackable","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower
* Fireplace
* Sprinkler System","* Hardwood Floors
* Carpet
* Tile Floors
* Den
* Vaulted Ceiling",Variable,"* Wi-Fi at Pool and Clubhouse
* Maintenance on site
* Bilingual
* Trash Pickup - Curbside
* Recycling
* Online Services
* Car Wash Area","* Built in 1987
* Renovated in Jan 2018
* 384 Units/3 Stories","* Business Center
* Clubhouse
* Storage Space","* Balcony
* Barbecue Area",,"You know how you like to live. Comfortable. In style. Surrounded by amenities and close to work and play. At The Point at Bull Run, you'll find an apartment with it all, from numerous ways to unwind to a location that's close to every place you want to be. Walk out your door and meander across the wooded, park-like community for a dip in the Jr. Olympic-sized pool or a game on the community tennis court. Or, unwind in your comfortable home with beautiful, contemporary stylings. Then, when you're ready to head out to the greater Manassas area, you'll love being within walking distance from shopping, dining and just minutes from I-66. Please call for an appointment today."
[The Point at Manassas](https://www.apartments.com/the-point-at-manassas-manassas-va/8vtftl3/),888-457-7723,"[11212 Chatterly Loop, Manassas, VA 20109](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11212+Chatterly+Loop,+Manassas,+VA+20109/data=!4m2!4m1!3e2)",821 - 853 Sq Ft,"$1,350 - 1,805","* Cat Rent: $40
* Dog Rent: $40","* Admin Fee: $350
* Application Fee: $50
* Cat Fee: $400
* Dog Fee: $400","Dogs Allowed
* $40 Monthly Pet Rent
* $400 Fee
* 85 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Cardio Machines
* Weight Machines
* Pool
* Playground
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Pantry
* Kitchen
* Oven
* Range
* Refrigerator
* Freezer
* Breakfast Nook","* complementary coffee bar and WiFi in the clubhouse community sponsored events
* Complimentary Notary Services
* Dog Park","* Washer/Dryer
* Air Conditioning
* Ceiling Fans
* Storage Units
* Tub/Shower
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Dining Room
* Family Room
* Den
* Vaulted Ceiling
* Walk-In Closets",,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Courtesy Patrol
* 24 Hour Availability
* Recycling
* Renters Insurance Program
* Online Services
* Pet Play Area
* Car Charging Station
* Car Wash Area","* Built in 2001
* 576 Units/3 Stories","* Business Center
* Clubhouse
* Lounge
* Storage Space
* Conference Room","* Sundeck
* Grill",,"Welcome home to The Point at Manassas, where quality and comfort await you! Come home to the quiet relaxation of our 5 versatile floor plans ranging from 821 sq. ft. up to 1334 sq. ft. Private and luxurious, this is a haven with numerous amenities including a sparkling pool, 24-hour fitness center, business center with internet access, media room, indoor playroom, outdoor playground, on-site car care area, and controlled access buildings. The Point at Manassas is part of a planned community located close to schools, shopping and so much more! Minutes from I-66, Virginia Railway Express, Metro bus, and local Omnilink bus service, the possibilities for fun are limitless."
[Arcadia Run](https://www.apartments.com/arcadia-run-manassas-va/62eb34v/),888-674-7235,"[11775 Boltonia Dr, Manassas, VA 20109](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/11775+Boltonia+Dr,+Manassas,+VA+20109/data=!4m2!4m1!3e2)",789 Sq Ft,"$1,280 - 1,890","* Cat Rent: $45
* Dog Rent: $45","* Admin Fee: $400
* Application Fee: $50
* Cat Deposit: $300
* Dog Deposit: $300",No Pets Allowed,50,50,"Surface Lot
600 spaces. Parking Available","* Fitness Center
* Fitness Programs
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Playground
* Basketball Court
* Media Center/Movie Theatre",,"* 9 ft. Ceilings
* Individual Climate Control
* Large Closets","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Carpet
* Tile Floors
* Family Room
* Den
* Walk-In Closets
* Window Coverings",,"* Package Service
* Community-Wide WiFi
* Wi-Fi at Pool and Clubhouse
* Maintenance on site
* 24 Hour Availability
* Recycling
* Renters Insurance Program
* Planned Social Activities
* Guest Apartment","* Built in 2013
* 312 Units/4 Stories","* Business Center
* Clubhouse
* Lounge
* Storage Space
* Coffee Bar
* Conference Room","* Cabana
* Grill",,"If happiness starts at home, there's a lot at home to be happy about. You're going to have to get used to getting more from your new apartment home in Manassas Virginia, at Arcadia Run. With nine foot ceilings, extended windows, walk-in closets*, and expansive kitchens with granite counters and designer cabinets, these apartment homes offer more features and finishes than you'd ever expect this close to everything. Located on Wellington Road in Manassas VA, convenient to DC and surrounded by shopping, activities, history, and loads of exceptional features and finishes far above the usual you're just going to have to get used to getting more at the apartments at Arcadia Run, in beautiful Manassas Virginia!"
[Rosemary Ridge](https://www.apartments.com/rosemary-ridge-manassas-va/0ggnpw2/),888-708-8716,"[10901 Wild Ginger Cir, Manassas, VA 20109](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/10901+Wild+Ginger+Cir,+Manassas,+VA+20109/data=!4m2!4m1!3e2)",876 Sq Ft,"$1,229 - 2,487","* Unassigned Garage Parking: $150
* Cat Rent: $40
* Dog Rent: $40
* Trash Removal: Included","* Admin Fee: $345
* Application Fee: $50
* Cat Fee: $200
* Dog Fee: $200","Dogs Allowed:
Call Rosemary Ridge office for breed restrictions. 36-85 pounds 
* $40 Monthly Pet Rent
* $200 Fee
* 35 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
675 spaces. Parking Available","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Playground
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Microwave
* Oven
* Refrigerator
* Freezer","* Dens - Select Homes
* Dog Park
* Gas Fireplaces - Select Homes
* Individual Climate Control
* Laminate Counter Tops
* Large Closets
* Locker Room with Showers
* Lofty nine-foot ceilings
* Open Parking
* Vaulted Ceilings - Select Homes","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Tub/Shower
* Fireplace
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Carpet
* Vinyl Flooring
* Dining Room
* Den
* Vaulted Ceiling
* Walk-In Closets
* Linen Closet",,"* Package Service
* Community-Wide WiFi
* Maintenance on site
* Courtesy Patrol
* Recycling
* House Sitter Services
* Pet Care
* Pet Play Area
* Car Wash Area","* Built in 2007
* 402 Units/4 Stories","* Business Center
* Clubhouse","* Grill
* Picnic Area",,"Lease your Apartment in Manassas, VA at Rosemary Ridge. Quaint charm, city convenience. Come to where the real Virginia begins, and you'll understand why Manassas has become the new alternative to the hectic pace of today's suburban living. The lovely garden-style apartment homes of Rosemary Ridge are designed for people who value quiet time, family outings and, above all, living well. Truly, life in Manassas is far from ordinary. Yet living here means you're just as connected to the D.C. area as any suburbanite. From the historic Manassas Train Depot, the signature icon of Old Town, you can connect with the city and the world via a full schedule of daily Amtrak and Virginia Railway Express commuter trains. With so much to do in the area, you'll be glad to be in the middle of it all ? in your great apartment home at Rosemary Ridge."
[Courts at Historic Manassas](https://www.apartments.com/courts-at-historic-manassas-manassas-va/qlsht0z/),866-930-3534,"[9203-9205 Prince William St, Manassas, VA 20110](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9203-9205+Prince+William+St,+Manassas,+VA+20110/data=!4m2!4m1!3e2)",627 Sq Ft,"$1,091 - 1,648","* Storage Fee: $70
* Unassigned Garage Parking: $50 - 100
* Assigned Other Parking: $50
* Bird Rent: $10
* Cat Rent: $35
* Dog Rent: $35
* Reptile Rent: $10","* Admin Fee: $100
* Application Fee: $50
* Cat Fee: $250 - 375
* Dog Fee: $250 - 375",Pets Negotiable,50,50,"Surface Lot
1 space. Parking Available",* Fitness Center,"* Dishwasher
* Range","* 24 Hour Business Center
* 24 Hour Emergency Maintenance
* 24/7 On-call Emergency Sercvic
* Building Intercom Entry
* Charcoal and Gas Grilling/Picn
* Coffee Bar
* Control-Access Building
* Controlled Access
* Controlled building access
* Cyber Cafe
* Dog Park
* Elevator in clubhouse
* Energizing Dog Park
* Fire Pits
* Flexible lease terms
* Grill Area
* Heated/Cooled hallways
* Multiple spacious floor plans
* Optional Garage Parking
* Optional On Site Storage
* Package Acceptance & eLockers for 24 Hour ...
* Package Acceptance & eLockers for 24 Hour Package Pick Up
* Package acceptance and package lockers
* Pet Friendly
* Pet Stations
* Pet Stations thoughout Communi
* Picnic Area
* Professionally Managed by CAPR
* Resident Referral Program
* Resident WiFi Lounge
* Washer/Dryer in Unit
* 1x1 Renovations
* 2x2 Renovations
* ADA Accessible Units
* All 2 Bedroom Floorplans have 2 Bathrooms
* Brush Nickel Lighting
* Brushed Nickel Door Hardware
* Brushed Nickel Light Fixtures
* Ceiling Fans 1
* Central Air Conditioning
* Central Air/Heating
* Frost Free Refrigerators with
* Full Baths
* Full-size washer/dryer
* Fully Equiped Kitchen
* Fully Equipped Kitchen
* Garbage disposal
* Garbage Disposals
* Granite Countertops
* Hardwood or Carpeted Floor
* HE Washer/Dryer
* Ice Maker
* Individual Controlled Heat
* LED Light Renovations
* Newly Renovated homes featurin
* Over the range microwave
* Oversized Windows1
* Refrigerator-Freezer
* Stainless-steel kitchen sink
* Vertical and Mini Blinds","* High Speed Internet Access
* Washer/Dryer",,Variable,* Pet Care,"* Built in 2009
* 132 Units/4 Stories","* Business Center
* Lounge",* Gated,,"Discover The Courts At Historic Manassas! Located in the heart of historic Manassas, the past is present everywhere. Charming buildings dating from the late 1800's to the turn of the 20th Century line the quiet streets. The Courts at Historic Manassas is a new rental community, a private enclave, built in the revitalized historic area of Manassas and offers all the convenience, comforts, and amenities of a quaint hometown. At the Courts, you can select your future home from a variety of floor plans, some featuring sunrooms, and dens. The Courts also offer all the luxury details you expect in your new home from modern kitchens and baths with granite countertops, washer and dryer, and garage parking. Plus, the Courts is just steps away from the Railroad Depot, built in 1914. You can stroll to nearby shops, galleries, and restaurants. Walk to the theater and see a play, or just enjoy the fresh air and relaxation that surrounds."
[Battery Heights Apartments](https://www.apartments.com/battery-heights-apartments-manassas-va/7fd697z/),844-621-3950,"[8479 Metcalf Blvd, Manassas, VA 20110](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/8479+Metcalf+Blvd,+Manassas,+VA+20110/data=!4m2!4m1!3e2)",745 Sq Ft,"$1,186 - 1,525",* Trash Removal: Included,* Application Fee: $50,No Pets Allowed,50,50,"Surface Lot
Surface lot available. Please contact leasing office for complete details.","* Fitness Center
* Playground",* Dishwasher,"* Business Center
* On-Site Management
* Package Receiving
* Swimming Pool
* Tennis Court
* Disposal
* Full-Size Washer & Dryer in Apartment Homes
* Spacious Closets",* High Speed Internet Access,,12 months,"* Package Service
* Maintenance on site","* Built in 1987
* 442 Units/4 Stories",* Clubhouse,,,"Battery Heights is a community infused with the charm of historic Old Town Manassas and enhanced by an abundance of shops, restaurants and an 11 acre City Park, all within walking distance. Choose from three thoughtfully designed and spacious floor plans. The Virginia Railway Express is only 6 blocks away! Battery Heights is sure to have something for you!"
