Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[1204 Spruce Ave](https://www.apartments.com/1204-spruce-ave-shady-side-md/6xtzcdv/),,"[1204 Spruce Ave, Shady Side, MD 20764](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1204+Spruce+Ave,+Shady+Side,+MD+20764/data=!4m2!4m1!3e2)",,"$1,350",,,,50,50,,,"* Dishwasher
* Disposal
* Ice Maker
* Range
* Refrigerator",,* Washer/Dryer,* Attic,,,* Lot Size: 0.11 AC,,,![Primary Photo - 1204 Spruce Ave](https://images1.apartments.com/i2/-_QXN4g93t4QDpx-syKUbn3NPdmq91b6wYBkHixGyJk/117/1204-spruce-ave-shady-side-md-primary-photo.jpg) ![Building Photo - 1204 Spruce Ave](https://images1.apartments.com/i2/0qhAv4LzZUDvJcOaUEYuDT5yoCuWcz1cS73fHUpdCYA/117/1204-spruce-ave-shady-side-md-building-photo.jpg) ![Building Photo - 1204 Spruce Ave](https://images1.apartments.com/i2/sp_ajI1NylMXx0LKT2s1CTbY9lSWVCNlA9nEZ1uB6AI/117/1204-spruce-ave-shady-side-md-building-photo.jpg) ![Building Photo - 1204 Spruce Ave](https://images1.apartments.com/i2/ftjAX1payMcOX-FRIeCUOvbVvoaZ3F8HIBl4QEERkFA/117/1204-spruce-ave-shady-side-md-building-photo.jpg) ![Building Photo - 1204 Spruce Ave](https://images1.apartments.com/i2/g_wZPodYkWAbn2URVCVRJOR1g68e3lRwMrVV3z5jU3w/117/1204-spruce-ave-shady-side-md-building-photo.jpg) ![Building Photo - 1204 Spruce Ave](https://images1.apartments.com/i2/8NNsm9uFBeCqbQgWgvLy27xRqy7PqnOysrBWg-5kOXA/117/1204-spruce-ave-shady-side-md-building-photo.jpg) ![Building Photo - 1204 Spruce Ave](https://images1.apartments.com/i2/6HXqHuRJFn5AO9Cu-E_wd6ODlxgT2_BRZsewa_Lq-FI/117/1204-spruce-ave-shady-side-md-building-photo.jpg) ![Building Photo - 1204 Spruce Ave](https://images1.apartments.com/i2/3ok0B0XkQ_8giTsgb1NhFWlA1rPgP8hx8G5Z_cTwik0/117/1204-spruce-ave-shady-side-md-building-photo.jpg) ![Building Photo - 1204 Spruce Ave](https://images1.apartments.com/i2/FfNKxMukcIwCHvh-SJml_p8PGTiuJjhxY5hK7Cy8JEU/117/1204-spruce-ave-shady-side-md-building-photo.jpg) ![Building Photo - 1204 Spruce Ave](https://images1.apartments.com/i2/PrKpFGc4SrM4qGVFzL3F4F8mCL3tq087EeZ9-AAagZM/117/1204-spruce-ave-shady-side-md-building-photo.jpg) ![Building Photo - 1204 Spruce Ave](https://images1.apartments.com/i2/9imduVfnaQfROsNywnJnSqDPp8xjSUJi7PyEMYFPf5c/117/1204-spruce-ave-shady-side-md-building-photo.jpg) ![Building Photo - 1204 Spruce Ave](https://images1.apartments.com/i2/j0ofcbYhmXzvxHIDt4a2Kn-mmGS2_rfy7myUXQK8ZbE/117/1204-spruce-ave-shady-side-md-building-photo.jpg) ![Building Photo - 1204 Spruce Ave](https://images1.apartments.com/i2/JxN5ZS6jLi8USHfaXpCdfjStu2-O1_iejqmLmU2cins/117/1204-spruce-ave-shady-side-md-building-photo.jpg) ,Cozy 1-2 bedroom cottage in beachfront community- All new inside-kitchen/cabinets stove stainless steel refrigerator granite counter tops under counter lighting-new bathroom-glass walk-in shower-new washer/dryer-new windows-wall to wall carpet-new lighting throughout - two (2) sheds one new 12/18 shed possible workshop/storage.Parking for 2 cars. Must have Good Credit-No Pets or Smokers.
[5339 Sweetwater Dr](https://www.apartments.com/5339-sweetwater-dr-west-river-md/06666s2/),,"[5339 Sweetwater Dr, West River, MD 20778](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/5339+Sweetwater+Dr,+West+River,+MD+20778/data=!4m2!4m1!3e2)",,"$5,500",,,,50,50,Garage,,"* Dishwasher
* Ice Maker
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer",,"* Washer/Dryer
* Air Conditioning
* Ceiling Fans","* Dining Room
* Basement
* Attic",,,* Lot Size: 1.14 AC,,,![Primary Photo - 5339 Sweetwater Dr](https://images1.apartments.com/i2/saOFtrJbUs8kcHU8e7SohW85zXPZHuEwaDI1P_dbzFI/117/5339-sweetwater-dr-west-river-md-primary-photo.jpg) ,HUGE WATERFRONT HOME AND REASONABLE RENT OR RENT-TO-OWN W/IN-LAW SUITE! DON T DELAY OR IT WILL BE GONE!!
[4912 Dogwood St](https://www.apartments.com/4912-dogwood-st-shady-side-md/ntqc3tp/),,"[4912 Dogwood St, Shady Side, MD 20764](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4912+Dogwood+St,+Shady+Side,+MD+20764/data=!4m2!4m1!3e2)",,"$1,450",,,,50,50,,,,,,,,,* Lot Size: 0.17 AC,,,![Primary Photo - 4912 Dogwood St](https://images1.apartments.com/i2/0hGGuyWrAOlf46uyxNzcFVXq3PwmNfZIxHVtYsmC5mM/117/4912-dogwood-st-shady-side-md-primary-photo.jpg) ![Building Photo - 4912 Dogwood St](https://images1.apartments.com/i2/pjmLIFQBpsT-VGN6me6dO5DmC3f3qVKoMTrbmDJ3Ars/117/4912-dogwood-st-shady-side-md-building-photo.jpg) ![Building Photo - 4912 Dogwood St](https://images1.apartments.com/i2/dFUFGj-9O5-HZagfKxRbgDypt-Oly_bykowCrNWRJM8/117/4912-dogwood-st-shady-side-md-building-photo.jpg) ![Building Photo - 4912 Dogwood St](https://images1.apartments.com/i2/_JXAn6evLpFgmzwlFxnDmB2HE2A46cyTdSqizDAQTH4/117/4912-dogwood-st-shady-side-md-building-photo.jpg) ![Building Photo - 4912 Dogwood St](https://images1.apartments.com/i2/LPhHq97HXjUvpXqCiRN3_kvRxaEXuJ7mqFxFLqL-BvI/117/4912-dogwood-st-shady-side-md-building-photo.jpg) ![Building Photo - 4912 Dogwood St](https://images1.apartments.com/i2/cMxgu2N61WGHmfgRXJqtoWJ40o_2xuHO1uxiUDO4GxY/117/4912-dogwood-st-shady-side-md-building-photo.jpg) ![Building Photo - 4912 Dogwood St](https://images1.apartments.com/i2/P07FibbkbkpaVLfeSZl3ZK85KRFghAvUKOT4lkxjTcA/117/4912-dogwood-st-shady-side-md-building-photo.jpg) ![Building Photo - 4912 Dogwood St](https://images1.apartments.com/i2/-dRkgV-XmGh-209jHqQefnXNKTm313gqZNP1ePaE7fs/117/4912-dogwood-st-shady-side-md-building-photo.jpg) ![Building Photo - 4912 Dogwood St](https://images1.apartments.com/i2/Wg9JmgsT81o1oaOEWeDjPJWsXTnLrFl0s8ZlLkCamfE/117/4912-dogwood-st-shady-side-md-building-photo.jpg) ![Building Photo - 4912 Dogwood St](https://images1.apartments.com/i2/QInCl4hWNC_O1ff5SuGuX9sQuxSXBI3mKkey6v2SrBg/117/4912-dogwood-st-shady-side-md-building-photo.jpg) ,Quaint rambler offering 3 bedrooms and 1 full bath lots of decking and a huge side screened porch to enjoy. Community offers playgrounds and water access. Must have good credit. Pets are on a case by case basis. Agent related to owner.
[4722 Washington Ave](https://www.apartments.com/4722-washington-ave-shady-side-md/7qv3jvw/),,"[4722 Washington Ave, Shady Side, MD 20764](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4722+Washington+Ave,+Shady+Side,+MD+20764/data=!4m2!4m1!3e2)",,"$1,500",,,,50,50,,,* Eat-in Kitchen,,"* Air Conditioning
* Ceiling Fans",,,,* Lot Size: 0.08 AC,,,![Primary Photo - 4722 Washington Ave](https://images1.apartments.com/i2/fq9m8CTRstjXGLVMgcz0AwQtqPkCseGp7B9YbuyCzXY/117/4722-washington-ave-shady-side-md-primary-photo.jpg) ,Move in Ready and cute as a button! Gleaming wood floors everywhere rolling book shelf ladders just add to this charming colonial. Master bedroom has massive balcony overlooking the backyard. Walk down to the fenced in rear area using the spiral staircase from the Master deck. Huge shed makes for plenty of storage. Cathedral ceilings in both bedrooms.
