Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Daniel's Run](https://www.apartments.com/daniels-run-hyattsville-md/vwn201d/),855-669-2085,"[9228 Edwards Way, Hyattsville, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9228+Edwards+Way,+Hyattsville,+MD+20783/data=!4m2!4m1!3e2)","725 - 1,000 Sq Ft","$1,415 - 1,800","* Unassigned Garage Parking: $75
* Cat Rent: $40
* Water, Trash Removal, Sewer: Included",* Application Fee: $25,"Cats Allowed
Cats 
* $40 Monthly Pet Rent
* 2 Pet Limit",50,50,Covered,* Fitness Center,"* Dishwasher
* Disposal
* Ice Maker
* Pantry
* Kitchen
* Oven
* Range
* Refrigerator
* Freezer","* Bay Windows
* Breakfast Bars
* Bus to local train Station
* Car Detail Area
* Cathedral Ceilings Available
* Complimentary Coffee Bar
* Complimentary Fax and Copy
* Fios and Cable Ready
* Full-Size Washer and Dryer
* In unit full-sized washer and dryer
* Individual Intrusion Alarm System
* Military Housing
* Minutes To I-95 and I-495
* Optional Garage Parking
* Parcel/Package Acceptance
* Phoneless Monitoring System included
* Private Balconies
* Resident Lounge
* Same Day Application Processing
* Simple Online Application
* Single Stream Recycling
* Some Utilities Included
* Storage Closet
* Stylish Floor Plans
* UMD Shuttle bus stop
* Walk To Metro Bus and Shuttle Um
* Wood Burning Fireplace Available","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Alarm
* Storage Units
* Sprinkler System","* Carpet
* Dining Room
* Office
* Recreation Room
* Den
* Vaulted Ceiling
* Walk-In Closets
* Linen Closet
* Furnished
* Window Coverings",12,"* Controlled Access
* 24 Hour Availability
* Shuttle to Train
* Renters Insurance Program
* Online Services
* Planned Social Activities
* Car Wash Area","* Built in 1989
* Renovated in Jan 2007
* 144 Units/4 Stories
* Furnished","* Business Center
* Library","* Gated
* Grill
* Picnic Area",,"Daniel's Run is the only community that offers you more style, sophistication and amenities than other apartment homes. The luxury of extra time will also be yours with the accessibility of the best shopping, dining and entertainment just minutes away."
[Heritage Park Apartments](https://www.apartments.com/heritage-park-apartments-adelphi-md/32g0hng/),240-398-3334,"[1818 Metzerott Rd, Adelphi, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1818+Metzerott+Rd,+Adelphi,+MD+20783/data=!4m2!4m1!3e2)",610 Sq Ft,"$1,125 - 1,755","* Cat Rent: $40
* Dog Rent: $40
* Gas, Water, Heat, Trash Removal, Sewer: Included","* Application Fee: $60
* Cat Fee: $150
* Cat Deposit: $300
* Dog Fee: $150
* Dog Deposit: $300","Dogs Allowed:
$300 Pet deposit ($150 is refundable), pet fee is $40-$50 per month. One pet per household, 40 pound weight limit, breed restrictions apply. 
* $300 Deposit
* $40 Monthly Pet Rent
* $150 Fee
* 40 lb Weight Limit
* 1 Pet Limit",50,50,"Surface Lot
1 space.","* Pool
* Playground","* Dishwasher
* Disposal
* Eat-in Kitchen
* Kitchen
* Oven
* Range
* Refrigerator",* BBQ and Picnic Area,"* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Dining Room
* Walk-In Closets
* Accent Walls",12,"* Package Service
* Laundry Facilities
* Controlled Access
* Day Care
* Maintenance on site
* Property Manager on Site
* Bilingual","* Built in 1963
* 299 Units/5 Stories",* Elevator,"* Sundeck
* Grill
* Picnic Area",,"Welcome to Heritage Park Apartments! Nestled in a quiet wooded area, we have spacious one, two, and three bedroom apartment homes. Most of our apartments are newly renovated. Each apartment has a beautiful brick accent wall in the dining room, with plenty of closet space and a large living room. Most of the apartment homes have floor to ceiling windows in the living/dining room area that open up to a huge balcony or patio. We pay for your gas heating and cooking, water, sewer and trash removal. We also have free parking and we are convenient to the beltway and the Metro. * Prices are subject to change."
[The Delano Apartments](https://www.apartments.com/the-delano-apartments-adelphi-md/3hm2mtf/),844-471-7692,"[1811 Metzerott Rd, Adelphi, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1811+Metzerott+Rd,+Adelphi,+MD+20783/data=!4m2!4m1!3e2)",769 Sq Ft,"$1,420 - 1,660","* Storage Fee: $35
* Assigned Garage Parking: $50
* Gas, Water, Heat, Trash Removal, Sewer: Included","* Admin Fee: $250
* Application Fee: $45",No Pets Allowed,50,50,"Garage: $50
1 space; Assigned Parking. $50 monthly rent for assigned garage. Free covered parking.","* Fitness Center
* Free Weights","* Dishwasher
* Disposal
* Kitchen
* Microwave
* Range",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower","* Carpet
* Tile Floors
* Dining Room
* Den
* Walk-In Closets
* Window Coverings",12 months,"* Package Service
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site","* Built in 1997
* 92 Units/8 Stories","* Elevator
* Business Center
* Lounge
* Storage Space",* Sundeck,,"At The Delano Apartments you will enjoy no security deposit! With our beautiful 1 bedroom/1 bath with den and 2 bedroom/2 bath apartments in this new apartment Community, you will have a nice-sized kitchen with dishwasher, attached microwave, washer and dryer, large size bathrooms, new carpeting, and ceramic tiles.Put on your running shoes and let The Delano Apartments fitness center be your place to exercise and relax after with our rest area. Feel free to park anywhere on the lot with our free covered parking. Main entrances come with an Intercom that will go directly to your phone! Transportation is not an issue at The Delano Apartments. We are located on the University of Maryland Shuttle Line and metro area! Come see how the Delano Apartments can be your home! No security deposit!"
[Domain College Park](https://www.apartments.com/domain-college-park-college-park-md/34j6f5g/),844-349-3696,"[3711 Campus Dr, College Park, MD 20740](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3711+Campus+Dr,+College+Park,+MD+20740/data=!4m2!4m1!3e2)",625 - 675 Sq Ft,Call for Rent,"* Assigned Other Parking: $70
* Cat Rent: $30
* Dog Rent: $30","* Application Fee: $35
* Cat Deposit: $500
* Dog Deposit: $500","Dogs and Cats Allowed:
Acceptable animals include domestic cats, fish (max. tank size: 50 gallons), birds and dogs. Dogs that are purebreds or mixes of the following breeds are prohibited: Akita, Alaskan Malamute, Chow-Chow, Doberman, German Shepherd, Great Dane, Pit Bull (American Staffordshire Terrier, American Pit Bull Terrier, Staffordshire Bull Terrier), Rottweiler, Saint Bernard, Shar Pei, and Siberian Husky. All other animals including exotic pets are prohibited. All animals must be authorized by Management. 
* $500 Deposit
* $30 Monthly Pet Rent
* 2 Pet Limit",50,50,Garage,"* Fitness Center
* Pool
* Media Center/Movie Theatre",,"* Contemporary gourmet kitchen
* Controlled access building
* Electric car charging stations
* Gourmet coffee and tea bar
* On-site retail
* Pet Friendly
* Stainless steel appliances","* High Speed Internet Access
* Washer/Dryer
* Ceiling Fans
* Smoke Free","* Hardwood Floors
* Walk-In Closets",Please contact us for available lease terms.,"* Package Service
* Concierge","* Built in 2013
* 256 Units/5 Stories","* Business Center
* Multi Use Room
* Storage Space",,,"Domain College Park features stylish apartments for rent in College Park, MD. Enjoy gourmet kitchens complete with granite countertops and stainless steel appliances, large closets, full-size washer/dryer sets, hardwood flooring, and thoughtful finishes. In addition to upscale features, our College Park apartments offer convenient on-site amenities for our residents. Enjoy access to our state-of-the-art fitness center, resort-style pool, landscaped courtyards, business center, and billiards/TV lounge. Enjoy close proximity to the Metro stop providing convenient access to the best of Silver Spring, Bethesda, and downtown Washington DC. Visit us today for a personalized tour of our remarkable College Park apartments and experience better apartment living in Maryland.Domain College Park was voted ""Best Mid-Rise Apartment - Mid-Atlantic 2013"" in the 17th Annual Delta Associates Awards for Excellence."
[University Gardens Serene Gardens](https://www.apartments.com/university-gardens-serene-gardens-adelphi-md/0q9ed93/),844-284-5097,"[1801 Jasmine Ter, Adelphi, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1801+Jasmine+Ter,+Adelphi,+MD+20783/data=!4m2!4m1!3e2)",508 - 560 Sq Ft,"$975 - 1,390","* Cat Rent: $50
* Dog Rent: $50
* Water, Trash Removal, Sewer: Included",* Application Fee: $25,"Dogs Allowed:
Aggressive Breed Restrictions apply Dogs 
* $50 Monthly Pet Rent
* 50 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
Parking by Permit only","* Pool
* Playground","* Disposal
* Kitchen
* Oven
* Range
* Refrigerator","* Cable
* Cathedral Ceilings Available
* Clothing Care Center
* Disposal
* Free Movie Rentals
* Furnishings Available
* Gas Stove
* Internet
* Metro Green Line and Red Line
* Parquet flooring
* Patio,Balcony
* Spacious Closets
* Storage Available
* Verizon Fios Available
* Wall-To-Wall Carpeting","* High Speed Internet Access
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower","* Hardwood Floors
* Carpet
* Vinyl Flooring
* Dining Room
* Den
* Vaulted Ceiling
* Walk-In Closets
* Window Coverings",None,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* Bilingual
* Courtesy Patrol
* Recycling
* Renters Insurance Program","* Built in 1965
* 456 Units/3 Stories",* Multi Use Room,* Gated,,The convenient and comfortable University Gardens was created just for you! Metro buses and The University of Maryland shuttle buses stop within the community. Plenty of shopping and schools are also nearby. Relax at our private pool and recreation areas.
[The Communities at Arbor Vista](https://www.apartments.com/the-communities-at-arbor-vista-adelphi-md/hjq4gh2/),888-834-8120,"[9408 Adelphi Rd, Adelphi, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9408+Adelphi+Rd,+Adelphi,+MD+20783/data=!4m2!4m1!3e2)",727 Sq Ft,"$1,045 - 1,655","* Cat Rent: $35
* Dog Rent: $35","* Admin Fee: $200
* Application Fee: $45
* Cat Fee: $200
* Dog Fee: $200","Dogs Allowed:
Aggressive Breeds Restricted. 
* $35 Monthly Pet Rent
* $200 Fee
* 60 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space. Parking Available","* Fitness Center
* Pool
* Playground",,"* BBQ/Picnic Area
* Controlled Access Buildings
* Extra Storage
* Large Closets
* Newly Renovated Apartment Homes
* Open-Concept Floorplans
* Pet Friendly (Breed Restrictions Apply)
* Separate Dining Room
* Soccer Field","* High Speed Internet Access
* Smoke Free",,None,"* Laundry Facilities
* Maintenance on site","* Built in 1960
* 684 Units/3 Stories",* Business Center,* Gated,,"Discover the finest apartments in Adelphi, Maryland at The Communities at Arbor Vista. Our spacious apartment homes offer in-town convenience with the friendly ambiance you will only find in the best neighborhood of Adelphi. We are a lively apartment community, located just few minutes to the inner loop of Capital Beltway 495, the University of Maryland College Park, Prince George's Community College, the U.S. Army Research Laboratory, the National Archives, Wheaton Metro Station, and Prince George's Metro Station. In addition to our unbeatable location, we offer high-end amenities including a new fitness center with cardio equipment, s sparkling swimming pool, convenient outdoor grills, a children's playground, a Shuttle Stop to the University of Maryland, and a extraordinary clubhouse with business center. Call for your personalized tour of The Communities at Arbor Vista!"
[Coronado Apartments](https://www.apartments.com/coronado-apartments-hyattsville-md/mv79zzj/),844-244-8404,"[9004 Riggs Rd, Hyattsville, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9004+Riggs+Rd,+Hyattsville,+MD+20783/data=!4m2!4m1!3e2)",681 Sq Ft,"$1,285 - 1,560","* Cat Rent: $25
* Dog Rent: $25
* Gas, Water, Electricity, Heat, Trash Removal, Sewer, Cable, Air Conditioning: Included","* Application Fee: $38
* Cat Fee: $250
* Dog Fee: $250","Dogs and Cats Allowed
* $25 Monthly Pet Rent
* $250 Fee
* 25 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
2 spaces.",,"* Dishwasher
* Disposal
* Kitchen
* Range
* Refrigerator","* All utilities are included.
* Close to local shopping and dining.
* Party Room","* High Speed Internet Access
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Carpet
* Tile Floors
* Dining Room
* Recreation Room
* Walk-In Closets
* Linen Closet
* Accent Walls",,"* Laundry Facilities
* Bilingual
* 24 Hour Availability
* Recycling
* Renters Insurance Program
* Online Services","* Built in 1965
* Renovated in Jan 2014
* 72 Units/2 Stories","* Elevator
* Clubhouse
* Multi Use Room
* Storage Space","* Balcony
* Patio",,"A reminder of quiet country living with all the advantages of metropolitan living. 3 acres of lush, green grass surround landscaped apartment buildings. 1 & 2 Bedroom Apartments, huge floor plans. Conveniently located just minutes from I-95 and I-495 (the Capital Beltway). Walk to banking, shopping and dining across the street. Metro Bus Line runs in front of the property. 24 hour emergency maintenance."
[1836 Metzerott Rd Unit 1916](https://www.apartments.com/1836-metzerott-rd-adelphi-md-unit-1916/ksnyds8/),,"[1836 Metzerott Rd, Adelphi, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1836+Metzerott+Rd,+Adelphi,+MD+20783/data=!4m2!4m1!3e2)",535 Sq Ft,$990,,,No Pets Allowed,50,50,Surface Lot,,,,,,6 Month,,,,,![Primary Photo - 1836 Metzerott Rd](https://images1.apartments.com/i2/aFNV0WYVv1G9t_KcSmUtHvwfdpyfkDSezbMeOKui7qQ/110/1836-metzerott-rd-unit-1916-adelphi-md-primary-photo.jpg) ![Building Photo - 1836 Metzerott Rd](https://images1.apartments.com/i2/z-hHXoQASF4sssqt5MiRZJcRNU4fpNDY7Cw9B00JhEA/118/1836-metzerott-rd-unit-1916-adelphi-md-building-photo.jpg) ![Building Photo - 1836 Metzerott Rd](https://images1.apartments.com/i2/GZEcPy1PRDNlk085Ughlfhni42SwVyXQHPcwaBgrN0k/118/1836-metzerott-rd-unit-1916-adelphi-md-building-photo.jpg) ![Building Photo - 1836 Metzerott Rd](https://images1.apartments.com/i2/1GSr0vQuN6bl_-ahLvH64E2duil3btbiz3GlojFEFCY/118/1836-metzerott-rd-unit-1916-adelphi-md-building-photo.jpg) ![Building Photo - 1836 Metzerott Rd](https://images1.apartments.com/i2/uh1BwO6ZW-sfZbYoIA9kNVPGpRm_HUbVBTGgGbufZiw/118/1836-metzerott-rd-unit-1916-adelphi-md-building-photo.jpg) ![Building Photo - 1836 Metzerott Rd](https://images1.apartments.com/i2/8m8G6XPYwjBcDaboNkOKxIDVa-yobAUShqEZC2TD1fM/118/1836-metzerott-rd-unit-1916-adelphi-md-building-photo.jpg) ,"Small 1 Bed unit for Rent. Available July 20, 2017. Must have good credit and good references. $1200 Refundable Deposit. All utilities included. Laundry on same floor. 5min drive to Univ. of Md. 10min drive to PG Plaza Metro, Bus stop at entrance. 4 min from Beltway. No Pets allowed in Bldg."
[9200 Edwards Way Unit 1211](https://www.apartments.com/9200-edwards-way-hyattsville-md-unit-1211/49sch3l/),,"[9200 Edwards Way, Hyattsville, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9200+Edwards+Way,+Hyattsville,+MD+20783/data=!4m2!4m1!3e2)",872 Sq Ft,"$1,400",,,,50,50,Garage,,"* Dishwasher
* Disposal
* Ice Maker
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator",,"* Washer/Dryer
* Air Conditioning",* Dining Room,,,,* Elevator,,![Primary Photo - 9200 Edwards Way](https://images1.apartments.com/i2/VTlndcgkuVg1lKmbufoeAM5u66rQaNu2WFcS9YMVla4/117/9200-edwards-way-unit-1211-hyattsville-md-primary-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/QLqjpyyvWzSauttDG8_5M7uVT9g6_9vDXY9skYZQ3Ao/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/T5icoLcucKY8dZRTtRETIjEMufM7zaKnQ4R_qEnV3YY/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/0Aa_elhMxoFBP4JcByaMjsRWg8kcYaf6J1NXFYNAH8c/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/iYw4QOmqZ3DHujAcGWcEJcJ5g9U1w8-Iy69YL5yAan8/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/fe8jFjN2OdixbEtitENdppPMx5dH3EovVpCr2zHKjBQ/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/5kFDrDjXhobI0AZTswBWWpLzzGXw79PKmd0vbU72JQg/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/0_KvoL5qmIrm-Z4DXU-dp5OgrxL-71Z79Z0h06rhZI0/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/RvPNnNpaCIjNTyV3T0UjKdq88APNc3ugCKIPkAH6Km8/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/8HOcMREaEYFYtXPsK5Cdkfsv0bzPzENQYt6UjkoXPlo/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/ih0CqdD1uVIeNeFgmWSmYjkCPfebVo5m-ycab4Uiqtc/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/xYTnab0ATaJx-N47k0_5cRq6EiQsNFD7bPYIgQg3M9Q/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/Scqcs61KEWs6CLb4AkuDO3E7cgM4qdFx2rGJW_Vy4oE/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/Ta2RkTu-nFrgGWwrFW5tgRa8ahVZPTFw4csGML9qZe8/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/EEa5Kr8wx_4qt3_yehJ6e45-U9lqCSBRjQPT330F194/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/zB-1dwGwj-723lX7c1nxGO8ehPODMrSBAypTBybEAYY/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/T5cWUl0Je_yabutbl1Qi2F1j_086OogvEdZ9uWbm9VU/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ![Building Photo - 9200 Edwards Way](https://images1.apartments.com/i2/mH6bsnQogL8TGHKYWfMJeo7GFkuppm6Z7XlgKoKEohU/117/9200-edwards-way-unit-1211-hyattsville-md-building-photo.jpg) ,Time to move! Here s a great fully-renovated condo with tennis courts a pool exercise room and all utilities included! The large condo features a roomy bedroom with walk-in closet a balcony with great views spacious living and dining areas and a kitchen with stainless steel appliances granite counters & a stacked front-loading washer/dryer. The building has a 24x7 front desk & parking.
[9250 Edwards Way](https://www.apartments.com/9250-edwards-way-hyattsville-md/nn3x5rn/),,"[9250 Edwards Way, Hyattsville, MD 20783](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9250+Edwards+Way,+Hyattsville,+MD+20783/data=!4m2!4m1!3e2)",,"$1,500",,,,50,50,,,,,,,,,,,,![Primary Photo - 9250 Edwards Way](https://images1.apartments.com/i2/S3X_9tTSEgm4clN776EFAPsRfjbVEsmT08XLUOAraUk/117/9250-edwards-way-hyattsville-md-primary-photo.jpg) ![Building Photo - 9250 Edwards Way](https://images1.apartments.com/i2/KRIo_d5ptczjT05XK7E7EeplRbz2t0pG9c7M0woYok4/117/9250-edwards-way-hyattsville-md-building-photo.jpg) ![Building Photo - 9250 Edwards Way](https://images1.apartments.com/i2/h5vAiUNJ54hjbAqhOCS5KssRYxwEMwc0-PmlL5pUs80/117/9250-edwards-way-hyattsville-md-building-photo.jpg) ![Building Photo - 9250 Edwards Way](https://images1.apartments.com/i2/Zljpign0X7oCRqfSwgks0l06lcHcDWyKTJq9SYnEP4M/117/9250-edwards-way-hyattsville-md-building-photo.jpg) ![Building Photo - 9250 Edwards Way](https://images1.apartments.com/i2/KHYta3VKjn_1HBlMDlduSe5aTCaact0NoRWxtV-D9dA/117/9250-edwards-way-hyattsville-md-building-photo.jpg) ![Building Photo - 9250 Edwards Way](https://images1.apartments.com/i2/CXmB8zoh9MLuK3KtkYa2-j44_LH4WJfza3gxx8BendU/117/9250-edwards-way-hyattsville-md-building-photo.jpg) ![Building Photo - 9250 Edwards Way](https://images1.apartments.com/i2/RXmvdez9m2OP4XxJ3KGkohTdj-6_MBHW0sA41B0zo7Q/117/9250-edwards-way-hyattsville-md-building-photo.jpg) ![Building Photo - 9250 Edwards Way](https://images1.apartments.com/i2/USdumpX4FB_RuVI5k4xEPZJL3ljXpdhe5mERmS3rOWc/117/9250-edwards-way-hyattsville-md-building-photo.jpg) ![Building Photo - 9250 Edwards Way](https://images1.apartments.com/i2/2RvxWm6HhaoKgyLgZ0Vnedgi9M5abjdZkTfU5RBPgl4/117/9250-edwards-way-hyattsville-md-building-photo.jpg) ![Building Photo - 9250 Edwards Way](https://images1.apartments.com/i2/F8WybcIUE9DC7IAzfWyxRFlZkAJrc_xlRH1BWHE9bqY/117/9250-edwards-way-hyattsville-md-building-photo.jpg) ![Building Photo - 9250 Edwards Way](https://images1.apartments.com/i2/H5jxk3tWmwcu0wsobi88eGbExjqSaSgQsiOW8rk-66c/117/9250-edwards-way-hyattsville-md-building-photo.jpg) ![Building Photo - 9250 Edwards Way](https://images1.apartments.com/i2/Rc7bF8BzCBGNTSAKT8AqR9Xu5jOvuQ5rzm3twO_zbI4/117/9250-edwards-way-hyattsville-md-building-photo.jpg) ,Located 15 minutes from the University of Md. with easy access to Rt.193 the Beltway and DC. Available for immediate move-in! Secured Entry with utilities and parking included. Spacious condo with oversized living room and walk-in closets over 1000 sqft of living space. Vouchers Ok! You don t want to miss this one apply at online at rentalsrock
