Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[509 Eastern Ave](https://www.apartments.com/509-eastern-ave-capitol-heights-md/z5gksbw/),,"[509 Eastern Ave, Capitol Heights, MD 20743](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/509+Eastern+Ave,+Capitol+Heights,+MD+20743/data=!4m2!4m1!3e2)",,"$1,500",,,,50,50,,,,,"* Air Conditioning
* Ceiling Fans",* Dining Room,,,,,,![Primary Photo - 509 Eastern Ave](https://images1.apartments.com/i2/cyJqwy3MXleqQkil32t1ztVM_MZ2cvQ-LkZfvj5LSmQ/117/509-eastern-ave-capitol-heights-md-primary-photo.jpg) ![Building Photo - 509 Eastern Ave](https://images1.apartments.com/i2/ErFk-fF6vIurAAIq6fYF02F-djlyLIhs8MskxcCwcig/117/509-eastern-ave-capitol-heights-md-building-photo.jpg) ![Building Photo - 509 Eastern Ave](https://images1.apartments.com/i2/FpdOLJaiEcQjvbDfSnnpq4epWxq8oKhTe8vwDm8Z2xw/117/509-eastern-ave-capitol-heights-md-building-photo.jpg) ![Building Photo - 509 Eastern Ave](https://images1.apartments.com/i2/UfPHlT5frobD3LEdeIeotJ991u39Piw2ZAoaLZC9shg/117/509-eastern-ave-capitol-heights-md-building-photo.jpg) ![Building Photo - 509 Eastern Ave](https://images1.apartments.com/i2/RRCvJS5DJHnM6udKt_5IVk4IGwv1pFpKWhzebxB8cUU/117/509-eastern-ave-capitol-heights-md-building-photo.jpg) ![Building Photo - 509 Eastern Ave](https://images1.apartments.com/i2/U_6VRaJa-sCmgv8LJhk0fx-nPg5V8GiTGWbp7h4JPCU/117/509-eastern-ave-capitol-heights-md-building-photo.jpg) ![Building Photo - 509 Eastern Ave](https://images1.apartments.com/i2/Mu1_SOVIIvVye6x_pbeGd2_swO36qi0qvDgTmIJBztY/117/509-eastern-ave-capitol-heights-md-building-photo.jpg) ,spacious 3bdrm apt all utilities included close to metro sec 8 and vets welcome
[Eastern Avenue](https://www.apartments.com/eastern-avenue-capitol-heights-md/105prr7/),,"[500-511 63rd St, Capitol Heights, MD 20743](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/500-511+63rd+St,+Capitol+Heights,+MD+20743/data=!4m2!4m1!3e2)",,,,,,50,50,"Surface Lot
1 space. Parking Available",* Playground,"* Kitchen
* Oven
* Range",,"* Washer/Dryer
* Air Conditioning
* Heating",,,* Planned Social Activities,"* Built in 1945
* 88 Units/2 Stories",,,![Primary Photo - Eastern Avenue](https://images1.apartments.com/i2/8acbX0uQbC1Gx7TJu062oRUNoRPJHPz7GH8BbpjYtEQ/117/eastern-avenue-capitol-heights-md-primary-photo.jpg) ![Primary Photo - Eastern Avenue](https://images1.apartments.com/i2/6ygLM7aM3-qp5g-a87DAs07RHtvyK2npSQEo0i4z2A0/117/eastern-avenue-capitol-heights-md-primary-photo.jpg) ,
