Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[1310 Gresham Rd](https://www.apartments.com/1310-gresham-rd-silver-spring-md/lgdeeye/),,"[1310 Gresham Rd, Silver Spring, MD 20904](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1310+Gresham+Rd,+Silver+Spring,+MD+20904/data=!4m2!4m1!3e2)",,"$2,200",,,,50,50,Covered,,"* Dishwasher
* Disposal
* Ice Maker
* Oven
* Refrigerator",,"* Washer/Dryer
* Air Conditioning
* Fireplace","* Dining Room
* Basement",,,* Lot Size: 0.18 AC,,,![Primary Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/jE9kz5uvptPuqYpN9aQo7EE1BoM_WjKyyqq5QhwiKns/117/1310-gresham-rd-silver-spring-md-primary-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/9A8XeMhwVEZ1TdK13LwEJiBNkDpynkEDEcEkDbPJcas/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/aOvtERE8Tji81zZEojx0-dYVAUvJMBkK_ppVaLLSN88/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/w54YzLJvFYckoCHX22pHTXdo6gf91b07MheoRBPp2xU/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/JS2vyNH6rU8YzKM2IlkR-9vCbPnKePfCmZcJgkVDZdo/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/YVYiiRmeUH_x8rc1ACko8E0PbrBWzRnVG9qBzc6LibI/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/mIg_x4R4FDLisQyn4yTFjGeuTGrrzZ7-dO8VCCMhW8o/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/ix1kaAysNCaFgbz37WMN2dZWjfIDBDrSoGf8n3SElPs/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/eFO8fl30yjLrJRXn4_l_Fsbe9onRVhzlzjDXoCZ9EJo/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/kYT86LOWU6MlcSsENwPo-QuR0Ggy-bH4EI5RWKIA7Ec/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/TI2gaTGhNJZSSGHdShgx5AzPf8buOAeUSamVdBW8Cos/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/pGEI2pocj3WkBhJUrLtIKheq23ayMa2u_EfHQswinD4/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/wJ_3iejXRAAmCd_DKhi79KRHuqRXNGabeVKbXqmZAqo/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/D2a4I4_VsgdCIhwOdE11qQiQJdGh9b1wentLWQFU0AE/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/0dKm0GxejsSndaMqTwmp103TJRwDb_h27IiA4dIeSdU/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/T7m-gUnv4g3_5LtgNJWPdp1woXqqLJQthVZElaTQd6A/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/IsE9fYThN5KLL37agIO_vZxB9I2IBElwBkp5cQ99IQs/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/Btov5BctQOqbbvP9OQ3YNEUvoCfDoIOsN8sExvyPt3E/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/k2Nr1ZNC4sGLAm6zI79_6nkvGQ8yuIu8soOrfXP3SZs/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/NwpaGLyT4AuwG6RjD8ZXjc3zh2pGpS2B241U0xTKoPs/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/wR0DumCtvHC8AA_OoM4QgSy9PD-PemuGN74WdzztVXQ/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/73t3coVlAZlbUo75801O4e1ij5neFd8aHpjExk0ekwI/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/cpeM0nyVeIyBKiY4QLJ2-_Fmg8aS4Gf0R8G14KNzcdQ/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ![Building Photo - 1310 Gresham Rd](https://images1.apartments.com/i2/1j-aIVUkN4LEnz5SZvfqC3frbEJkZyQ2YCSZxvhB4bY/117/1310-gresham-rd-silver-spring-md-building-photo.jpg) ,Beautiful and spacious home located in a quite neighborhood. This traditional colonial features 3 Br 3 1/2 BA Wood Floor Stainless Steel Appliances separate dinning room nice deck carport second kitchen in basement and more.
[Randolph Village Senior Apartments](https://www.apartments.com/randolph-village-senior-apartments-silver-spring-md/hxwvll2/),,"[531 Randolph Rd, Silver Spring, MD 20904](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/531+Randolph+Rd,+Silver+Spring,+MD+20904/data=!4m2!4m1!3e2)",,,,,"Dogs Allowed:
breed restrictions apply one pet per household 
* $300 Fee
* 25 lb Weight Limit
* 1 Pet Limit",50,50,"Surface Lot
Parking Available","* Fitness Center
* Gameroom
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Kitchen
* Refrigerator","* Grocery store shuttle
* Mobile post office
* Senior community
* Seniors 62+","* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Wheelchair Accessible (Rooms)","* Carpet
* Sunroom
* Walk-In Closets",,"* Package Service
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Bilingual
* Video Patrol
* 24 Hour Availability
* On-Site Retail
* Planned Social Activities
* Guest Apartment","* Built in 1997
* 130 Units/2 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Library
* Two Story Lobby","* Cabana
* Courtyard
* Picnic Area",![Primary Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/a0zrqpG9zmIM2wT8V1kvtkcQKCjPeGsJcJa2QzWCWZM/117/randolph-village-senior-apartments-silver-spring-md-primary-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/Q2XK14xDxJFap9fdYDGYr6ugvSWTrPkQTlV-6SIY41Y/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/BrlHBdaEZ9_n7QP5FdF40cvpdf6BGin7bPmwR5qr_Lw/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/3DneGjdGiwz0WA_SVVzbWGguNcTkhC5i92j0SDc1Kho/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/bLOoBW2A6twJbKMk5uU3pJQLMaN5jPCPzEQKC2ZYWL4/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/h9FRUt_xULJJFui2ZCCGvY-kTbOyPJ131jgFhltrvCs/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/HuM-Lkzosh2F5a6mewhIIwrAGVO2pwDhI3za6QNP_B8/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/JUK7rFV9ox5fomCJdSe9AtcJ07VY5HZhYwtY8RPJfUc/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/Uk1Gk2bvuxwshgYlg_PDYoeNzf5zhHJkquIRkS9dPv4/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/f4p_zhANLPRx1MTFe1kGVXLYH9OtieJ6PWMDO8qd9Ck/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/_EBg_jSmK1nutqDcAtoEMCpCAcwqBgtK9d-dA7PXhJ8/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/Tx4IgOsfaV9P4E4pcB4t1nVGOhGOZfZlcqfpvRGMVK4/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/JMpq6ku3T7HWCl3WAyBkHFDDJvlCLyjGY7E_EzM1G3U/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/uA5hNTpsqkG0HATJgacYRJlEJL_-yNo8JKrWJ3vitJ4/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/c2SNOmjbuME1QrrMXmjbPqzXoht55u7lYjOqZ_ODYtY/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/5tgn6yy976kmBR2xgACN4fVtVRjii0CjYMLpRJZ0bP8/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/pUCM5gc23fzVgVZbh6Z4U9lS82oqxtgpTRHMfqToWzQ/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/Fxh_teb7mXlg5NHCdscxHgpZ61YoANnW0I53zZKq7P8/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/BbcvajpWdbjTQompgRe6NOL6kGj86UlKT-XyaCmN6KE/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/cYPP0mM6C-o8rFQOQGfge-NEI6jcgjAgUB1WZyyj-ws/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/fa2cJIv6in7DzqgQnH49XSVrTeEv6iMDPl1lPzKs3rw/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/P-TbYRKLD_k4A8o5tMfuof-AkpzLf8znXN3oiloKzoM/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Pets are welcome friends at Randolph Village! - Randolph Village Senior Apartments](https://images1.apartments.com/i2/_tJyBPC101IKlYcEsdpcUMYz5V3WXNN3rlk-FfTtZDw/117/randolph-village-senior-apartments-silver-spring-md-pets-are-welcome-friends-at-randolph-vil.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/ZBIyMh5qzcXGCxg5K5GxyD89G_WCYlbS8gTEXVUIo1k/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/wYh3sPmQn4_jSmtFc1JZzb6PnTMsCut-alLWLVG38xw/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/Zj68lGsoQZzO5Q_64x3i8LuiPniWsKiSbeecYsmqqGM/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/Xwh6yzuHsD8ssFGLxrm-E_gXeLAv-K_NhYxegutUvyI/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/kaSTqOAjUboBx7WNwnKEILycaMxsVxyLPlfqr9a7Lbg/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/WfhoDLydd6VIvRLtu3ufLpAgNMN879Vyit74eKeXuSQ/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/W3kh-9Lju8PRdPod3eVizrxMkD9qEIRQ7sHonbqZAPs/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/TF3ArMoQC6uEPpk2pctQ8X8AMrq9PBeolaCR3V9P0UI/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/P5hklIM54Hu6sKDkHw66fS3yo8lxHMdphP2O62lKC3s/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/8_Qiikt4MiBQ1Yj7lZZwY0XWZ_lZsy6njGMYZx2yPzw/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/pNBDaDcckIxz8bleu_EuJVWV7vKtmTRO5T2_Yu6Tgac/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/KMcZWLJk3x6rfrC7zhwNFPImuloO5CNLmFPTbXPtcXQ/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![Building Photo - Randolph Village Senior Apartments](https://images1.apartments.com/i2/OMBXbBfouuZIsKc38dlT5KaXFGqi0Xct_zrdCYCzDr8/117/randolph-village-senior-apartments-silver-spring-md-building-photo.jpg) ![1BR/1BA - Randolph Village Senior Apartments](https://images1.apartments.com/i2/4i1GUq3KTsNV465CA_8n7ua35UqRD9lIRjXrJf8dLMo/117/randolph-village-senior-apartments-silver-spring-md-1br1ba.jpg) ![1BR/1BA - Randolph Village Senior Apartments](https://images1.apartments.com/i2/7Lin3XtEfMq1EbajtejNcTaRxLaTHBkw2yyJrAKazrI/117/randolph-village-senior-apartments-silver-spring-md-1br1ba.jpg) ![2BR/2BA - Randolph Village Senior Apartments](https://images1.apartments.com/i2/fYfUE9hZjcsWi0JleV2KeMOsBNZ7o-Uamb7sFVJhFvE/117/randolph-village-senior-apartments-silver-spring-md-2br2ba.jpg) ,"Picture a magnificent Silver Spring, Maryland senior apartment community for active adults age 62 or over, in a premier residential neighborhood surrounded by outdoor recreation, inviting plazas, and walkways. Imagine a setting alive with things to do in state-of-the-art facilities, like a 48-seat theater and multi-purpose entertainment center, sun-filled social lounges, a fitness center, computer and billiards room, and more. Next, add the peace of mind of a controlled-entry environment and the luxury of amenity-filled, one and two bedroom apartments, and you’ll arrive at Randolph Village. Bring your pets with you and enjoy the smoke-free environment. Come, discover Randolph Village, a thriving community that over 130 seniors call home; where a lifestyle rich in amenities is more than just a dream; it’s an affordable reality."
