Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Belvoir Square](https://www.apartments.com/belvoir-square-fort-belvoir-va/bf3hy48/),443-471-8677,"[9142 Richmond Hwy, Fort Belvoir, VA 22060](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9142+Richmond+Hwy,+Fort+Belvoir,+VA+22060/data=!4m2!4m1!3e2)",815 Sq Ft,"$1,640 - 2,630","* Cat Rent: $50
* Dog Rent: $50","* Admin Fee: $500
* Application Fee: $50
* Cat Fee: $300 - 400
* Dog Fee: $300 - 400","Dogs and Cats Allowed:
We welcome 2 pets per apartment home. One time pet fee $400 for the first pet and $300 for the second pet. Pet rent is $50 per month per pet. There is a weight limit of 65 pounds per pet, and aggressive breeds are prohibited. For more information, please call our leasing office. 
* $50 Monthly Pet Rent
* $300 - 400 Fee
* 65 lb Weight Limit
* 2 Pet Limit",50,50,"Garage
First vehicle free, any additional vehicle is $50 for each per month.","* Fitness Center
* Cardio Machines
* Free Weights
* Bike Storage
* Gameroom
* Gaming Stations","* Dishwasher
* Disposal
* Granite Countertops
* Oven
* Range
* Refrigerator
* Freezer","* 24/7 FX Well Fitness Center with group fitness ...
* Bike Storage with Built-In Pump & Work Bench
* Breakfast Bar or Movable Islands
* Brushed Nickel & Contemporary Chrome Fixtures
* Business Center features Mac and PC
* Ceramic Tile Floors
* Controlled Access
* Craft Room for Hobbies and Gift Wrapping
* Digital Cable TV Available
* Energy Efficient Heating, Air Conditioning & ...
* Energy Star & GE Steel Appliances that Wont ...
* Expansive Courtyard with Picnic/Grilling Area
* Four-Panel Wood Doors
* Full-Size Energy Star Washer & Dryers
* Gaming Room Including Pub-Style Shuffleboard, ...
* Garage Parking
* Granite Counters in Kitchens & Baths
* Green Living
* Group fitness classes led by FX Well personal ...
* High-End Wood Cabinetry with Built-In Wine Rack
* High-Speed Internet Access Available
* In Select Apartment Homes*
* Individual Resident Storage
* Large Closets
* Large Interior Mail Room
* Lightweight Concrete Soundproofing Between Floors
* Nine Foot Ceilings Standard
* Oversized Package Lockers
* Oversized Windows
* Patios & Balconies on Most Homes
* Pet Friendly Community
* Soundproofed Walls Between Units & Corridors
* Spacious Floor Plans
* Upgraded Flooring, Including Wood-Look ...
* Valet Dry Cleaning
* Window Blinds
* Xbox Gaming Room","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Cable Ready
* Tub/Shower",* Window Coverings,Variable,"* Package Service
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Recycling
* Dry Cleaning Service
* Online Services
* Pet Care","* Built in 2016
* 248 Units/5 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Coffee Bar",,,"Now Open! Belvoir Square is a contemporary ""green"" community, offering modern studio, one, and two bedroom apartments, with unique amenities and stylish finishes, such as hardwood floors, stainless steel appliances, and granite countertops. Located right outside the Tulley Gate on Route 1, you'll enjoy easy access to two Metro stations, VRE, Fairfax County Parkway, 395, 495 and 95 for convenient commutes to work or play in Woodbridge, Alexandria or DC!"
[Haven Fort Belvoir](https://www.apartments.com/haven-fort-belvoir-fort-belvoir-va/hnb8dz1/),844-231-9301,"[9186 Richmond Hwy, Fort Belvoir, VA 22060](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9186+Richmond+Hwy,+Fort+Belvoir,+VA+22060/data=!4m2!4m1!3e2)",650 Sq Ft,"$1,135 - 1,900","* Cat Rent: $35
* Dog Rent: $35","* Admin Fee: $300
* Application Fee: $50
* Cat Fee: $300
* Dog Fee: $300","Dogs Allowed:
Breed restrictions may apply. 
* $35 Monthly Pet Rent
* $300 Fee
* 50 lb Weight Limit
* 1 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool",,"* 18 Miles to Washington, D. C.
* Abundant Closet Space
* Adjacent to Fairfax County Parkway
* Cable-Ready
* Controlled Access Buildings
* Dog Park
* Easy Access to Rt. 1, I-495 and I-95
* Faux Granite Countertops
* Fully-Equipped Kitchens with Breakfast Bar
* Gas Range
* Hard Surface Flooring
* Mini Blinds
* Newly Renovated Apartments
* Packages Accepted
* Quiet, Established, Private Neighborhood
* Solid Brick Construction
* Spacious, Well-Designed Floor Plans
* Tot Lot
* Track Lighting
* Updated Appliances",* High Speed Internet Access,,None,"* Laundry Facilities
* Maintenance on site","* Built in 1964
* 77 Units/3 Stories",,,,"Conveniently located minutes from the South Gate of Fort Belvoir, I-95 and US Rte.1, great shopping and restaurants in Springfield, Potomac Mills Outlet Mall, Tackett's Mill and Old Town Occoquan, Haven Fort Belvoir Apartments offers affordable luxury living in a pristine neighborhood. Manicured hedges surrounded by verdant woods sets the tone for this established community. Newly renovated interiors featuring designer touches will make your Haven Fort Belvoir residence feel like your home. Let our dedicated and professional staff provide you with royal service! For a chivalrous experience, make Haven Fort Belvoir your residence today! $500 off first month's rent for active Military!!"
[The Courts at Belvoir](https://www.apartments.com/the-courts-at-belvoir-fort-belvoir-va/5c1xgqm/),,"[9140 Richmond Hwy, Fort Belvoir, VA 22060](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/9140+Richmond+Hwy,+Fort+Belvoir,+VA+22060/data=!4m2!4m1!3e2)",675 - 760 Sq Ft,"$1,050","* Water, Sewer: Included",* Application Fee: $30,No Pets Allowed,50,50,"Surface Lot
1 space.",,* Kitchen,,"* High Speed Internet Access
* Air Conditioning
* Heating
* Smoke Free",,,* Laundry Facilities,"* Built in 1957
* 32 Units/2 Stories",,,![Primary Photo - The Courts at Belvoir](https://images1.apartments.com/i2/Sy2pZI2IxUehsRhnIJUkPhywrhAOlAbsqHrVvAs08rk/117/the-courts-at-belvoir-fort-belvoir-va-primary-photo.jpg) ![Entrance - The Courts at Belvoir](https://images1.apartments.com/i2/nM2AXL1BFfjgs0-mNlFoLHy5-tOtiseAWGMYkfsBxOk/117/the-courts-at-belvoir-fort-belvoir-va-entrance.jpg) ![Building Photo - The Courts at Belvoir](https://images1.apartments.com/i2/DAa4yVeIO10XSiCqGyH0smBQfd5q1_V78QPyho3tP_4/117/the-courts-at-belvoir-fort-belvoir-va-building-photo.jpg) ,
