GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
8600000US20015,20015,ZCTA5 20015,6445,226,4027,215,3615,219,2418,236,3.7,2.2,1.1,1.5,0.4,0.6,8.0,4.9,1.4,1.0,0.0,0.8,0.0,0.9,3.8,2.6,3.2,1.3,0.7,0.7,0.0,0.9,7.2,3.6,2.6,1.3,0.3,0.5,0.0,0.9,6.4,3.4,5.7,1.9,2.2,1.5,1.7,1.4,12.0,4.5,8.7,2.0,3.6,1.5,1.9,1.1,18.2,4.7,8.1,2.1,6.5,2.4,6.2,2.6,10.7,4.1,13.7,2.6,11.4,2.9,10.9,2.9,17.6,5.2,11.6,2.4,15.3,3.5,15.3,3.8,5.7,2.2,41.3,3.5,58.9,5.0,63.7,5.0,10.5,3.3,161352,11821,223606,21362,(X),(X),65078,11766,211691,14825,276506,20701,N,N,95136,13920,26.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.2,(X)
8600000US20016,20016,ZCTA5 20016,14011,426,7276,382,6289,384,6735,453,6.2,1.6,1.6,1.0,1.0,0.7,11.6,3.0,2.4,0.8,0.2,0.3,0.2,0.3,4.5,1.7,3.2,1.2,1.1,0.8,0.2,0.2,5.4,2.6,3.7,1.2,0.6,0.6,0.7,0.7,6.9,2.5,6.7,1.3,1.3,0.8,0.8,0.7,12.7,2.7,8.9,1.7,5.3,1.6,4.5,1.6,13.0,2.9,9.3,1.7,6.5,1.8,6.0,1.9,12.8,2.9,15.1,2.3,16.3,3.3,13.1,2.6,14.5,2.9,12.6,1.7,15.9,2.6,16.5,2.9,8.2,2.5,32.0,2.6,51.2,3.7,56.9,3.7,10.4,2.3,124080,10050,203800,12667,224031,10658,64531,8538,201626,13280,297400,23416,N,N,94917,8988,24.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.6,(X)
8600000US20017,20017,ZCTA5 20017,7518,249,3893,312,1945,211,3625,277,10.2,2.0,6.3,2.5,1.4,1.3,15.0,3.3,4.3,1.3,2.3,1.5,1.6,1.6,6.4,2.3,5.9,1.5,5.0,2.0,0.4,0.7,7.3,2.2,7.2,1.7,7.2,2.7,4.3,2.7,8.0,2.4,10.1,2.4,10.5,3.5,4.3,3.5,8.6,2.3,20.0,2.6,19.1,3.9,16.1,4.7,21.7,4.3,13.7,2.7,16.2,4.5,14.5,5.3,10.3,2.7,15.9,2.5,15.5,3.4,25.6,5.4,16.2,3.7,6.1,1.8,8.2,2.7,15.0,5.2,3.3,1.9,6.6,1.5,9.7,2.6,16.6,4.4,3.1,1.6,63022,5645,74608,7655,109850,10063,54505,3499,81027,3605,92922,6482,N,N,66583,5230,40.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),46.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.0,(X)
8600000US20018,20018,ZCTA5 20018,7666,251,3937,273,1837,216,3729,287,11.5,2.2,3.5,1.6,1.9,1.6,19.9,4.4,5.9,1.5,2.1,1.3,1.3,1.5,9.8,3.1,9.7,1.8,4.6,2.1,1.5,1.3,15.1,2.9,9.4,2.0,12.0,3.6,5.7,3.1,8.7,2.9,7.5,2.0,6.1,2.4,4.4,2.6,8.1,2.6,14.9,2.3,20.0,3.6,18.7,4.6,10.8,3.1,12.5,2.1,13.8,3.6,11.1,4.5,9.1,2.6,14.6,2.6,17.0,3.8,25.2,6.9,13.0,3.5,8.5,2.2,12.7,3.8,15.6,5.3,3.1,1.7,5.6,1.6,8.2,2.7,14.9,4.7,2.5,1.9,58821,6453,77810,6850,107764,10618,30366,8083,76619,4798,94517,6817,N,N,55088,7903,43.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),48.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.6,(X)
8600000US20019,20019,ZCTA5 20019,22620,434,12346,607,3027,296,10274,517,16.7,1.6,13.9,2.5,4.4,2.4,20.9,2.8,6.8,1.1,5.7,1.4,2.8,1.7,8.7,1.6,15.5,1.6,14.4,2.5,8.9,2.9,17.1,2.1,11.2,1.5,11.4,2.1,6.4,2.5,11.3,2.3,14.0,1.8,13.9,2.1,11.5,3.1,14.1,2.3,15.6,1.4,16.2,2.3,16.9,4.0,15.0,2.1,9.6,1.1,10.2,1.6,17.1,4.2,7.2,1.5,7.0,1.0,9.0,1.5,18.4,4.6,4.1,1.3,2.1,0.7,3.1,1.2,6.4,2.4,0.7,0.5,1.6,0.5,2.1,0.8,7.2,3.1,0.9,0.5,34739,2599,39036,3167,(X),(X),26743,2574,48579,2603,55480,4370,N,N,38040,2518,43.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),46.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),39.8,(X)
8600000US20020,20020,ZCTA5 20020,21084,492,12074,499,2951,343,9010,466,18.3,1.8,17.6,2.2,3.7,1.9,21.2,2.9,8.4,1.2,7.9,1.8,2.4,2.4,9.1,1.8,12.5,1.4,12.8,1.9,5.3,2.6,13.6,2.4,11.0,1.5,10.2,2.0,7.2,3.2,11.1,2.5,15.2,1.5,13.2,1.7,12.3,4.0,16.9,2.9,14.3,1.8,14.6,2.4,21.8,5.9,14.0,2.9,8.6,1.4,9.0,1.9,14.8,4.5,7.1,1.9,7.0,0.9,7.1,1.3,11.7,2.9,5.8,1.1,2.9,0.8,4.4,1.3,11.5,3.9,0.8,0.4,1.9,0.6,3.1,1.0,9.4,3.2,0.3,0.3,34797,2431,36875,3832,70928,7692,29038,4488,49418,2731,55524,4398,98645,10836,38755,2199,28.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.6,(X)
8600000US20024,20024,ZCTA5 20024,7043,246,2153,279,1317,244,4890,317,9.8,2.2,9.3,3.3,0.9,1.3,10.1,3.0,3.2,1.2,2.4,1.6,2.6,2.0,3.6,1.6,4.6,1.5,5.0,2.6,2.4,2.1,4.3,1.6,6.5,1.7,7.9,3.5,3.1,3.0,6.0,2.2,12.8,2.8,10.2,5.6,12.3,8.3,13.9,3.5,14.1,2.9,8.2,3.9,5.6,4.6,16.6,3.9,12.5,2.8,8.8,4.1,9.7,6.1,14.4,3.6,18.5,3.1,18.5,6.2,17.4,7.6,18.6,3.8,10.7,2.6,16.1,6.1,24.4,9.4,8.3,2.8,7.3,2.1,13.6,4.4,21.5,6.7,4.2,2.3,72389,7177,91607,26716,(X),(X),66694,9635,90712,6029,112985,13909,N,N,80471,7393,24.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.9,(X)
8600000US20032,20032,ZCTA5 20032,14235,332,8527,402,2449,235,5708,411,20.6,2.2,18.7,3.1,2.6,1.7,25.1,3.2,7.6,1.3,8.0,1.9,2.1,1.8,7.7,2.0,11.6,1.9,10.7,2.2,4.8,2.5,13.5,3.2,11.9,2.0,11.1,2.5,7.7,3.2,15.2,3.1,15.6,2.1,14.0,2.7,13.7,3.9,16.7,3.0,14.1,1.8,15.3,2.9,20.9,4.6,11.1,2.4,8.0,1.5,7.7,1.9,14.1,4.3,6.3,2.1,6.8,1.2,8.9,1.7,19.9,4.7,3.7,1.3,2.7,0.8,3.9,1.2,9.1,3.5,0.4,0.5,1.2,0.5,1.6,0.7,5.2,2.3,0.4,0.4,33408,2267,36770,3700,73390,5854,27443,3172,46676,3292,52824,5036,94446,14309,34704,2370,32.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X)
8600000US20036,20036,ZCTA5 20036,3828,285,698,156,633,161,3130,250,10.7,3.5,1.4,2.2,1.6,2.4,12.7,4.3,2.4,1.4,0.0,4.5,0.0,5.0,2.9,1.6,2.4,1.9,2.9,5.4,0.0,5.0,2.9,2.3,7.3,3.7,8.3,6.4,6.6,6.2,7.9,4.3,4.4,2.4,0.0,4.5,0.0,5.0,5.4,3.0,16.5,4.3,7.6,9.8,8.4,11.0,18.5,5.0,15.6,4.3,13.9,8.3,13.3,8.9,15.2,5.0,17.3,4.3,13.3,8.1,14.7,9.0,18.2,5.2,11.0,4.6,20.2,15.1,19.7,16.2,8.3,4.1,12.5,4.3,32.4,17.0,35.7,17.9,8.1,3.3,82829,9311,157606,34213,(X),(X),74603,8951,108420,11303,161712,32416,N,N,95091,12527,17.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),18.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),16.6,(X)
8600000US20037,20037,ZCTA5 20037,7088,418,1640,313,1345,288,5448,415,12.3,3.3,5.1,7.9,0.0,2.4,14.5,3.6,4.4,2.0,3.7,4.4,4.5,5.4,4.6,2.3,5.1,2.5,1.9,2.1,2.3,2.6,6.1,3.1,5.5,2.5,3.0,2.7,2.1,2.0,6.2,3.1,7.5,2.2,1.0,1.7,0.0,2.4,9.4,2.7,13.6,3.1,4.0,2.9,2.9,2.5,16.5,4.0,8.2,2.5,5.3,4.4,6.5,5.1,9.0,2.9,13.9,3.7,13.0,8.4,15.8,9.7,14.2,3.8,7.7,2.7,7.3,5.0,8.9,6.1,7.8,3.2,21.7,4.2,55.7,12.7,57.0,12.7,11.5,3.0,78176,10150,207380,62404,(X),(X),62768,11426,137690,20647,248278,44285,N,N,104365,23493,27.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.1,(X)
