desc,column
Breakfast Nook,breaknook
Coffee System,coffeesys
Dishwasher,dwasher
Disposal,disposal
Eat-in Kitchen,eatinkitch
Freezer,freezer
Granite Countertops,granctops
Ice Maker,icemaker
Instant Hot Water,insthotwater
Island Kitchen,islandkitch
Kitchen,kitchen
Microwave,microwave
NA,na
Oven,oven
Pantry,pantry
Range,range
Refrigerator,fridge
Stainless Steel Appliances,ssteelapp
Warming Drawer,warmdrawer
