desc,column
Breakfast/Coffee Concierge,bcconcierge
Business Center,businesscent
Clubhouse,clubhouse
Coffee Bar,coffeebar
Conference Room,confrm
Corporate Suites,corpsuite
Disposal Chutes,dispchutes
Elevator,elevator
Library,library
Lounge,lounge
Multi Use Room,multiuserm
NA,na
Storage Space,storagespace
Tanning Salon,tanningsal
Two Story Lobby,twostorylobby
Vintage Building,vintage
