pid,Other Fee,admin,amenity,appfee,birddep,birdfee,catdep,catfee,dogdep,dogfee,fishdep,fishfee,movein,na,otherdep,reptiledep,reptilefee,unknown
1807,,,,,,,,,,,,,,,,,,
1808,,,,25.0,,,,,,,,,,,,,,
1809,,100.0,,50.0,,,,,,,,,,,,,,
1810,,,,20.0,,,,,,,,,,,,,,
1811,,,,40.0,,,,,,,,,,,,,,
1812,,,,,,,,,,,,,,,,,,
1813,,,,,,,,,,,,,,,,,,
1814,,,,25.0,,,,,,,,,,,,,,
1815,,,,35.0,,,250.0,,250.0,,,,,,,,,
1816,,,,50.0,,,,250.0,,250.0,,,,,,,,
1817,,,,,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,,,,,
1819,,,,45.0,,,,,,,,,,,,,,
1820,,,,,,,,,,,,,,,,,,
1821,,,,,,,,,,,,,,,,,,
1822,,,,,,,,,,,,,,,,,,
1823,,,,,,,,,,,,,,,,,,
1824,,,,,,,,,,,,,,,,,,
1825,,,,,,,,,,,,,,,,,,
1826,,,,,,,,,,,,,,,,,,
1827,,400.0,,35.0,,,500.0,500.0,500.0,500.0,,,,,,,,
1828,,,,25.0,,,,300.0,,300.0,,,,,,,,
1829,,,,25.0,,,,,,,,,,,,,,
1830,,,400.0,35.0,,,400.0,,400.0,,,,,,,,,
1831,,,,22.0,,,,250.0,,250.0,,,,,,,,
1832,,,,,,,,,,,,,,,,,,
1833,,,,,,,,,,,,,,,,,,
1834,,,,,,,,,,,,,,,,,,
1835,,,,,,,,,,,,,,,,,,
1836,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,,
1838,,,,,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,,,,,
1840,,,,,,,,,,,,,,,,,,
1841,,,,,,,,,,,,,,,,,,
1842,,,,,,,,,,,,,,,,,,
1843,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,
1845,,,,,,,,,,,,,,,,,,
1846,,,,,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,,,,,
1848,,,,,,,,,,,,,,,,,,
1849,,,,,,,,,,,,,,,,,,
1850,,,,,,,,,,,,,,,,,,
1851,,,,,,,,,,,,,,,,,,
1852,,,,,,,,,,,,,,,,,,
1853,,,,,,,,,,,,,,,,,,
1854,,,,,,,,,,,,,,,,,,
1855,,,,,,,,,,,,,,,,,,
1856,,,,,,,,,,,,,,,,,,
1857,,,,,,,,,,,,,,,,,,
1858,,,,,,,,,,,,,,,,,,
1859,,,,,,,,,,,,,,,,,,
1860,,,,,,,,,,,,,,,,,,
1861,,,,,,,,,,,,,,,,,,
1862,,,,,,,,,,,,,,,,,,
1863,,,,,,,,,,,,,,,,,,
1864,,,,,,,,,,,,,,,,,,
1865,,,,,,,,,,,,,,,,,,
1866,,,,,,,,,,,,,,,,,,
1867,,,,,,,,,,,,,,,,,,
1868,,,,,,,,,,,,,,,,,,
1869,,,,,,,,,,,,,,,,,,
1870,,,,,,,,,,,,,,,,,,
1871,,,,,,,,,,,,,,,,,,
1872,,,,,,,,,,,,,,,,,,
1873,,,,,,,,,,,,,,,,,,
1874,,,,,,,,,,,,,,,,,,
1875,,,,,,,,,,,,,,,,,,
1876,,,,25.0,,,250.0,,250.0,,,,,,,,,
1877,,,,,,,,,,,,,,,,,,
1878,,,,35.0,,,150.0,,150.0,,,,,,,,,
1879,,,,25.0,,,,,,,,,,,,,,
1880,,,,,,,,,,,,,,,,,,
1881,,,,,,,,,,,,,,,,,,
1882,,,,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,
1884,,,,,,,,,,,,,,,,,,
1885,,,,,,,,,,,,,,,,,,
1886,,,,,,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,,,,,
1890,,,,,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,,,,,
1892,,,,30.0,,,350.0,,350.0,,,,,,,,,
1893,,,,,,,,,,,,,,,,,,
1894,,,,,,,,,,,,,,,,,,
1895,,,,,,,,,,,,,,,,,,
1896,,,,,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,,,,,
1899,,,,,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,,,,,
1905,,,,32.0,,,,300.0,,300.0,,,,,,,,
1906,,,,,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,,,,,
1910,,,,,,,,,,,,,,,,,,
1911,,,,,,,,,,,,,,,,,,
1912,,,,,,,,,,,,,,,,,,
1913,,,,,,,,,,,,,,,,,,
1914,,,,,,,,,,,,,,,,,,
1915,,,,,,,,,,,,,,,,,,
1916,,,,,,,,,,,,,,,,,,
1917,,,,,,,,,,,,,,,,,,
1918,,,,,,,,,,,,,,,,,,
1919,,,,,,,,,,,,,,,,,,
1920,,,,,,,,,,,,,,,,,,
1921,,,,,,,,,,,,,,,,,,
1922,,,,,,,,,,,,,,,,,,
1923,,,,,,,,,,,,,,,,,,
1924,,,,,,,,,,,,,,,,,,
1925,,,,,,,,,,,,,,,,,,
1926,,350.0,,50.0,,,,300.0,,300.0,,,,,,,,
1927,,,,,,,,,,,,,,,,,,
1928,,,,,,,,,,,,,,,,,,
1929,,,,,,,,,,,,,,,,,,
1930,,,,,,,,,,,,,,,,,,
1931,,,,,,,,,,,,,,,,,,
1932,,,,,,,,,,,,,,,,,,
1933,,,,,,,,,,,,,,,,,,
1934,,,,,,,,,,,,,,,,,,
1935,,,,,,,,,,,,,,,,,,
1936,,,,,,,,,,,,,,,,,,
1937,,,,,,,,,,,,,,,,,,
1938,,,,,,,,,,,,,,,,,,
1939,,,,,,,,,,,,,,,,,,
1940,,,,,,,,,,,,,,,,,,
1941,,,,,,,,,,,,,,,,,,
1942,,,,,,,,,,,,,,,,,,
1943,,,,,,,,,,,,,,,,,,
1944,,,,,,,,,,,,,,,,,,
1945,,,,,,,,,,,,,,,,,,
1946,,,,,,,,,,,,,,,,,,
1947,,,,,,,,,,,,,,,,,,
1948,,,,,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,
1964,,,,32.0,,,300.0,,300.0,,,,,,,,,
1965,,,,40.0,,,300.0,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,
1975,,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,
1981,,,,25.0,,,400.0,,400.0,,,,,,,,,
1982,,,,25.0,,,,,,,,,,,,,,
1983,,,,25.0,,,,400.0,,400.0,,,,,,,,
1984,,,,25.0,,,,50.0,,350.0,,,,,,,,
1985,,,,25.0,,,350.0,,350.0,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,
1996,,,,35.0,,,300.0,,300.0,,,,,,,,,
1997,,99.0,,32.0,,,250.0,,250.0,,,,,,,,,
1998,,,,25.0,,,,,,,,,,,,,,
1999,,,,35.0,,,,250.0,,250.0,,,,,,,,
2000,,,,35.0,,,300.0,,300.0,,,,,,,,,
2001,,,,45.0,,,300.0,,300.0,,,,,,,,,
2002,,,,35.0,,,,,200.0,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,
2020,,,,31.0,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,
2022,,,,25.0,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,
2031,,,,,,,,,,,,,,,,,,
2032,,,,,,,,,,,,,,,,,,
2033,,,,,,,,,,,,,,,,,,
2034,,,,,,,,,,,,,,,,,,
2035,,,,,,,,,,,,,,,,,,
2036,,,,,,,,,,,,,,,,,,
2037,,,,,,,,,,,,,,,,,,
2038,,,,,,,,,,,,,,,,,,
2039,,,,25.0,,,,,,,,,,,,,,
2040,,,,25.0,,,,200.0,,200.0,,,,,,,,
2041,,,,30.0,,,,250.0,,250.0,,,,,,,,
2042,,100.0,,40.0,,,,,,,,,,,,,,
2043,,,,25.0,,,,,,,,,,,,,,
2044,,,,40.0,,,,,,,,,,,,,,
2045,,,,,,,,,,,,,,,,,,
2046,,,,,,,,,,,,,,,,,,
2047,,,,,,,,,,,,,,,,,,
2048,,,,,,,,,,,,,,,,,,
2049,,,,,,,,,,,,,,,,,,
2050,,,,,,,,,,,,,,,,,,
2051,,,,,,,,,,,,,,,,,,
2052,,,,,,,,,,,,,,,,,,
2053,,,,,,,,,,,,,,,,,,
2054,,,,,,,,,,,,,,,,,,
2055,,,,,,,,,,,,,,,,,,
2056,,,,,,,,,,,,,,,,,,
2057,,,,,,,,,,,,,,,,,,
2058,,,,,,,,,,,,,,,,,,
2059,,,,,,,,,,,,,,,,,,
2060,,,,35.0,,,,250.0,,250.0,,,,,,,,
2061,,,,40.0,,,250.0,,250.0,,,,,,,,,
2062,,,,,,,,,,,,,,,,,,
2063,,,,25.0,,,,,,,,,,,,,,
2064,,,,25.0,,,,200.0,,200.0,,,,,,,,
2065,,,,,,,,,,,,,,,,,,
2066,,,,,,,,,,,,,,,,,,
2067,,,,,,,,,,,,,,,,,,
2068,,,,,,,,,,,,,,,,,,
2069,,,,,,,,,,,,,,,,,,
2070,,,,,,,,,,,,,,,,,,
2071,,,,,,,,,,,,,,,,,,
2072,,,,,,,,,,,,,,,,,,
2073,,,,,,,,,,,,,,,,,,
2074,,,,,,,,,,,,,,,,,,
2075,,,,,,,,,,,,,,,,,,
2076,,,,,,,,,,,,,,,,,,
2077,,,,,,,,,,,,,,,,,,
2078,,,,,,,,,,,,,,,,,,
2079,,,,,,,,,,,,,,,,,,
2080,,,,,,,,,,,,,,,,,,
2081,,,,,,,,,,,,,,,,,,
2082,,,,,,,,,,,,,,,,,,
2083,,400.0,,50.0,,,,400.0,,400.0,,,,,,,,
2084,,300.0,,50.0,,,200.0,200.0,100.0,400.0,,,,,,,,
2085,,350.0,,50.0,,,200.0,500.0,200.0,500.0,,,,,,,,
2086,,300.0,,50.0,,,200.0,400.0,200.0,400.0,,,,,,,,
2087,,,,50.0,,,200.0,500.0,200.0,800.0,,,,,,,,
2088,,400.0,,50.0,,,4000.0,,400.0,,,,,,,,,
2089,,,,40.0,,,300.0,,300.0,,,,,,,,,
2090,,,,35.0,,,150.0,15.0,150.0,15.0,,,,,,,,
2091,,,,,,,,,,,,,,,,,,
2092,,,,,,,,,,,,,,,,,,
2093,,,350.0,50.0,,,400.0,300.0,300.0,300.0,,,,,,,,
2094,,,,,,,,,,,,,,,,,,
2095,,,,,,,,,,,,,,,,,,
2096,,,,,,,,,,,,,,,,,,
2097,,,,,,,,,,,,,,,,,,
2098,,,,,,,,,,,,,,,,,,
2099,,,,,,,,,,,,,,,,,,
2100,,,,,,,,,,,,,,,,,,
2101,,,,,,,,,,,,,,,,,,
2102,,,,,,,,,,,,,,,,,,
2103,,,,,,,,,,,,,,,,,,
2104,,,,,,,,,,,,,,,,,,
2105,,,,,,,,,,,,,,,,,,
2106,,,,,,,,,,,,,,,,,,
2107,,,,,,,,,,,,,,,,,,
2108,,,,,,,,,,,,,,,,,,
2109,,,,,,,,,,,,,,,,,,
2110,,,,,,,,,,,,,,,,,,
2111,,,,,,,,,,,,,,,,,,
2112,,,,,,,,,,,,,,,,,,
2113,,,,,,,,,,,,,,,,,,
2114,,,,,,,,,,,,,,,,,,
2115,,,,,,,,,,,,,,,,,,
2116,,,,,,,,,,,,,,,,,,
2117,,,,,,,,,,,,,,,,,,
2118,,,,,,,,,,,,,,,,,,
2119,,,,,,,,,,,,,,,,,,
2120,,,,,,,,,,,,,,,,,,
2121,,,,,,,,,,,,,,,,,,
2122,,,,,,,,,,,,,,,,,,
2123,,,,,,,,,,,,,,,,,,
2124,,,,,,,,,,,,,,,,,,
2125,,,,,,,,,,,,,,,,,,
2126,,,,,,,,,,,,,,,,,,
2127,,,,,,,,,,,,,,,,,,
2128,,,,,,,,,,,,,,,,,,
2129,,,,,,,,,,,,,,,,,,
2130,,,,,,,,,,,,,,,,,,
2131,,,,,,,,,,,,,,,,,,
2132,,,,,,,,,,,,,,,,,,
2133,,,,,,,,,,,,,,,,,,
2134,,,,,,,,,,,,,,,,,,
2135,,,,,,,,,,,,,,,,,,
2136,,,,,,,,,,,,,,,,,,
2137,,,,,,,,,,,,,,,,,,
2138,,,,,,,,,,,,,,,,,,
2139,,,,,,,,,,,,,,,,,,
2140,,,,,,,,,,,,,,,,,,
2141,,,,,,,,,,,,,,,,,,
2142,,,,,,,,,,,,,,,,,,
2143,,,,,,,,,,,,,,,,,,
2144,,,,,,,,,,,,,,,,,,
2145,,,,32.0,,,400.0,,400.0,,,,,,,,,
2146,,,,,,,,,,,,,,,,,,
2147,,,,,,,,,,,,,,,,,,
2148,,,,,,,,,,,,,,,,,,
2149,,,,,,,,,,,,,,,,,,
2150,,,,,,,,,,,,,,,,,,
2151,,,,,,,,,,,,,,,,,,
2152,,,,,,,,,,,,,,,,,,
2153,,,,,,,,,,,,,,,,,,
2154,,,,,,,,,,,,,,,,,,
2155,,,,,,,,,,,,,,,,,,
2156,,,,,,,,,,,,,,,,,,
2157,,,,,,,,,,,,,,,,,,
2158,,,,,,,,,,,,,,,,,,
2159,,,,,,,,,,,,,,,,,,
2160,,,,,,,,,,,,,,,,,,
2161,,,,,,,,,,,,,,,,,,
2162,,,,,,,,,,,,,,,,,,
2163,,,,,,,,,,,,,,,,,,
2164,,,,,,,,,,,,,,,,,,
2165,,,,,,,,,,,,,,,,,,
2166,,,,,,,,,,,,,,,,,,
2167,,,,,,,,,,,,,,,,,,
2168,,,,,,,,,,,,,,,,,,
2169,,,,,,,,,,,,,,,,,,
2170,,,,,,,,,,,,,,,,,,
2171,,,,,,,,,,,,,,,,,,
2172,,,,,,,,,,,,,,,,,,
2173,,,,,,,,,,,,,,,,,,
2174,,,,,,,,,,,,,,,,,,
2175,,,,,,,,,,,,,,,,,,
2176,,,,,,,,,,,,,,,,,,
2177,,,,,,,,,,,,,,,,,,
2178,,,,,,,,,,,,,,,,,,
2179,,,,,,,,,,,,,,,,,,
2180,,,,,,,,,,,,,,,,,,
2181,,,,,,,,,,,,,,,,,,
2182,,,,,,,,,,,,,,,,,,
2183,,,,,,,,,,,,,,,,,,
2184,,,,,,,,,,,,,,,,,,
2185,,,,,,,,,,,,,,,,,,
2186,,,,,,,,,,,,,,,,,,
2187,,,,,,,,,,,,,,,,,,
2188,,,,,,,,,,,,,,,,,,
2189,,,,,,,,,,,,,,,,,,
2190,,,,,,,,,,,,,,,,,,
2191,,,,,,,,,,,,,,,,,,
2192,,,,,,,,,,,,,,,,,,
2193,,,,,,,,,,,,,,,,,,
2194,,,,,,,,,,,,,,,,,,
2195,,,,,,,,,,,,,,,,,,
2196,,,,,,,,,,,,,,,,,,
2197,,,,,,,,,,,,,,,,,,
2198,,,,,,,,,,,,,,,,,,
2199,,,,,,,,,,,,,,,,,,
2200,,,,,,,,,,,,,,,,,,
2201,,,,,,,,,,,,,,,,,,
2202,,,,,,,,,,,,,,,,,,
2203,,,,,,,,,,,,,,,,,,
2204,,,,,,,,,,,,,,,,,,
2205,,,,,,,,,,,,,,,,,,
2206,,,,,,,,,,,,,,,,,,
2207,,,,,,,,,,,,,,,,,,
2208,,,,37.0,,,,240.0,,240.0,,,,,,,,
2209,,,,,,,,,,,,,,,,,,
2210,,,,40.0,,,,,,,,,,,,,,
2211,,,,40.0,,,500.0,,300.0,,,,,,,,,
2212,,,,25.0,,,350.0,,350.0,,,,,,,,,350.0
2213,,,,40.0,,,,,,,,,,,,,,
2214,,,,25.0,,,,,,,,,,,,,,
2215,,,,,,,,,,,,,,,,,,
2216,,,,,,,,,,,,,,,,,,
2217,,,,,,,,,,,,,,,,,,
2218,,,,,,,,,,,,,,,,,,
2219,,,,,,,,,,,,,,,,,,
2220,,,,,,,,,,,,,,,,,,
2221,,,,,,,,,,,,,,,,,,
2222,,,,,,,,,,,,,,,,,,
2223,,,,,,,,,,,,,,,,,,
2224,,,,,,,,,,,,,,,,,,
2225,,,,,,,,,,,,,,,,,,
2226,,,,,,,,,,,,,,,,,,
2227,,,,,,,,,,,,,,,,,,
2228,,,,,,,,,,,,,,,,,,
2229,,,,,,,,,,,,,,,,,,
2230,,,,,,,,,,,,,,,,,,
2231,,,,,,,,,,,,,,,,,,
2232,,,,,,,,,,,,,,,,,,
2233,,,,,,,,,,,,,,,,,,
2234,,,,25.0,,,,,,,,,,,,,,
2235,,,,,,,,,,,,,,,,,,
2236,,,,40.0,,,,250.0,,250.0,,,,,,,,
2237,,,,25.0,,,,,,,,,,,,,,
2238,,,,32.0,,,500.0,,500.0,,,,,,,,,
2239,,,,50.0,,,300.0,,300.0,,,,,,,,,
2240,,,,32.0,,,,300.0,,300.0,,,,,,,,
2241,,100.0,,35.0,,,500.0,,500.0,,,,,,,,,
2242,,,,44.0,,,250.0,250.0,250.0,250.0,,,,,,,,
2243,,300.0,,50.0,,,,250.0,,250.0,,,,,,,,
2244,,,,30.0,,,,200.0,,200.0,,,,,,,,
2245,,,,35.0,,,,200.0,,,,,,,,,,
2246,,,,35.0,,,,,200.0,,,,,,,,,
2247,,,,40.0,,,,,,,,,,,,,,
2248,,,,,,,,,,,,,,,,,,
2249,,,,,,,,,,,,,,,,,,
2250,,,,,,,,,,,,,,,,,,
2251,,,,,,,,,,,,,,,,,,
2252,,,,,,,,,,,,,,,,,,
2253,,,,,,,,,,,,,,,,,,
2254,,,,35.0,,,,,,,,,,,,,,
2255,,,,30.0,,,,,,,,,,,,,,
2256,,,,40.0,,,,,,,,,,,,,,
2257,,,,35.0,,,,,300.0,,,,,,,,,
2258,,,,35.0,,,300.0,,300.0,,,,,,,,,
2259,,,,32.0,,,,,,,,,,,,,,
2260,,,,35.0,,,,,,,,,,,,,,
2261,,,,,,,,,,,,,,,,,,
2262,,,,,,,,,,,,,,,,,,
2263,,,,,,,,,,,,,,,,,,
2264,,,,,,,,,,,,,,,,,,
2265,,,,,,,,,,,,,,,,,,
2266,,,,,,,,,,,,,,,,,,
2267,,,,,,,,,,,,,,,,,,
2268,,,,,,,,,,,,,,,,,,
2269,,,,,,,,,,,,,,,,,,
2270,,,,,,,,,,,,,,,,,,
2271,,,,,,,,,,,,,,,,,,
2272,,,,,,,,,,,,,,,,,,
2273,,,,,,,,,,,,,,,,,,
2274,,,,,,,,,,,,,,,,,,
2275,,,,,,,,,,,,,,,,,,
2276,,,,,,,,,,,,,,,,,,
2277,,,,,,,,,,,,,,,,,,
2278,,,,,,,,,,,,,,,,,,
2279,,,,,,,,,,,,,,,,,,
2280,,,,,,,,,,,,,,,,,,
2281,,,,,,,,,,,,,,,,,,
2282,,,,,,,,,,,,,,,,,,
2283,,,,,,,,,,,,,,,,,,
2284,,,,,,,,,,,,,,,,,,
2285,,,,,,,,,,,,,,,,,,
2286,,,,,,,,,,,,,,,,,,
2287,,,,,,,,,,,,,,,,,,
2288,,,,,,,,,,,,,,,,,,
2289,,,,,,,,,,,,,,,,,,
2290,,,,,,,,,,,,,,,,,,
2291,,,,,,,,,,,,,,,,,,
2292,,,,,,,,,,,,,,,,,,
2293,,,,,,,,,,,,,,,,,,
2294,,,,,,,,,,,,,,,,,,
2295,,,,,,,,,,,,,,,,,,
2296,,,,,,,,,,,,,,,,,,
2297,,,,35.0,,,500.0,40.0,500.0,40.0,,,,,,,,
2298,,200.0,,35.0,,,500.0,,500.0,,,,,,,,,
2299,,,,,,,,,,,,,,,,,,
2300,,,,,,,,,,,,,,,,,,
2301,,,,,,,,,,,,,,,,,,
2302,,,,,,,,,,,,,,,,,,
2303,,,,,,,,,,,,,,,,,,
2304,,,,,,,,,,,,,,,,,,
2305,,,,,,,,,,,,,,,,,,
2306,,,,,,,,,,,,,,,,,,
2307,,,,,,,,,,,,,,,,,,
2308,,,,,,,,,,,,,,,,,,
2309,,,,,,,,,,,,,,,,,,
2310,,,,,,,,,,,,,,,,,,
2311,,,,,,,,,,,,,,,,,,
2312,,,,,,,,,,,,,,,,,,
2313,,,,,,,,,,,,,,,,,,
2314,,,,,,,,,,,,,,,,,,
2315,,,,,,,,,,,,,,,,,,
2316,,,,,,,,,,,,,,,,,,
2317,,,,,,,,,,,,,,,,,,
2318,,,,,,,,,,,,,,,,,,
2319,,,,,,,,,,,,,,,,,,
2320,,,,,,,,,,,,,,,,,,
2321,,,,,,,,,,,,,,,,,,
2322,,,,,,,,,,,,,,,,,,
2323,,,,,,,,,,,,,,,,,,
2324,,,,,,,,,,,,,,,,,,
2325,,,,,,,,,,,,,,,,,,
2326,,,,25.0,,,,,,,,,,,,,,
2327,,,,,,,,,,,,,,,,,,
2328,,,,,,,,,,,,,,,,,,
2329,,,,,,,,,,,,,,,,,,
2330,,,,,,,,,,,,,,,,,,
2331,,,,,,,,,,,,,,,,,,
2332,,200.0,,44.0,,,300.0,,300.0,,,,,,,,,
2333,,,,25.0,,,250.0,,250.0,,,,,,,,,
2334,,,,40.0,,,,750.0,,750.0,,,,,,,,
2335,,250.0,,25.0,,,250.0,,250.0,,,,,,,,,
2336,,,,25.0,,,,,,,,,,,,,,
2337,,,,,,,,,,,,,,,,,,
2338,,,,10.0,,,,,,,,,,,,,,
2339,,,,,,,,,,,,,,,,,,
2340,,,,,,,,,,,,,,,,,,
2341,,,,,,,,,,,,,,,,,,
2342,,,,,,,,,,,,,,,,,,
2343,,,,,,,,,,,,,,,,,,
2344,,,,,,,,,,,,,,,,,,
2345,,,,,,,,,,,,,,,,,,
2346,,,,,,,,,,,,,,,,,,
2347,,,,,,,,,,,,,,,,,,
2348,,,,,,,,,,,,,,,,,,
2349,,,,,,,,,,,,,,,,,,
2350,,,,,,,,,,,,,,,,,,
2351,,,,,,,,,,,,,,,,,,
2352,,,,,,,,,,,,,,,,,,
2353,,,,,,,,,,,,,,,,,,
2354,,,,,,,,,,,,,,,,,,
2355,,,,,,,,,,,,,,,,,,
2356,,,,,,,,,,,,,,,,,,
2357,,,,,,,,,,,,,,,,,,
2358,,,,,,,,,,,,,,,,,,
2359,,,,,,,,,,,,,,,,,,
2360,,,,,,,,,,,,,,,,,,
2361,,,,,,,,,,,,,,,,,,
2362,,,,25.0,,,,,,,,,,,,,,
2363,,,,30.0,,,,,,,,,,,,,,
2364,,,,50.0,,,,,,,,,,,,,,
2365,,100.0,,25.0,,,,,,,,,,,,,,
2366,,,,25.0,,,,250.0,,250.0,,,,,,,,400.0
2367,,100.0,,25.0,,,,,,,,,,,,,,
2368,,,,,,,,,,,,,,,,,,
2369,,,,,,,,,,,,,,,,,,
2370,,,,,,,,,,,,,,,,,,
2371,,,,,,,,,,,,,,,,,,
2372,,,,,,,,,,,,,,,,,,
2373,,,,,,,,,,,,,,,,,,
2374,,,,,,,,,,,,,,,,,,
2375,,,,,,,,,,,,,,,,,,
2376,,,,,,,,,,,,,,,,,,
2377,,,,,,,,,,,,,,,,,,
2378,,,,,,,,,,,,,,,,,,
2379,,,,,,,,,,,,,,,,,,
2380,,,,,,,,,,,,,,,,,,
2381,,,,,,,,,,,,,,,,,,
2382,,,,,,,,,,,,,,,,,,
2383,,,,,,,,,,,,,,,,,,
2384,,,,,,,,,,,,,,,,,,
2385,,,,,,,,,,,,,,,,,,
2386,,,,,,,,,,,,,,,,,,
2387,,,,,,,,,,,,,,,,,,
2388,,,,,,,,,,,,,,,,,,
2389,,,,,,,,,,,,,,,,,,
2390,,,,,,,,,,,,,,,,,,
2391,,,,,,,,,,,,,,,,,,
2392,,,,,,,,,,,,,,,,,,
2393,,4.0,,25.0,,,250.0,40.0,250.0,40.0,,,,,,,,
2394,,,,25.0,,,300.0,,300.0,,,,,,,,,
2395,,,,25.0,,,,,,,,,,,,,,
2396,,,,35.0,,,,,,,,,,,,,,
2397,,,,35.0,,,,500.0,,500.0,,,,,,,,
2398,,,,30.0,,,,250.0,,250.0,,,,,,,,
2399,,,300.0,25.0,,,,,,,,,,,,,,
2400,,,,25.0,,,300.0,,300.0,,,,,,,,,
2401,,,,32.0,,,300.0,,300.0,,,,,,,,,
2402,,,,25.0,,,,200.0,,200.0,,,,,,,,
2403,,,,25.0,,,300.0,300.0,300.0,300.0,,,,,,,,
2404,,,,25.0,,,300.0,,300.0,,,,,,,,,
2405,,,,25.0,,,300.0,,300.0,,,,,,,,,
2406,,,,30.0,,,250.0,,250.0,,,,,,,,,
2407,,,,40.0,,,250.0,250.0,250.0,250.0,,,,,,,,
2408,,200.0,,25.0,,,250.0,,250.0,,,,,,,,,
2409,,,,25.0,,,250.0,,250.0,,,,,,,,,
2410,,250.0,,35.0,,,,300.0,,300.0,,,,,,,,
2411,,,,25.0,,,300.0,,300.0,,,,,,,,,
2412,,,,25.0,,,400.0,,400.0,,,,,,,,,
2413,,,,35.0,,,250.0,,250.0,,,,,,,,,
2414,,,,30.0,,,,,,,,,,,,,,
2415,,160.0,,35.0,,,250.0,,250.0,,,,,,,,,
2416,,,,25.0,,,,200.0,,200.0,,,,,,,,
2417,,,,25.0,,,300.0,,300.0,,,,,,,,,
2418,,,,25.0,,,250.0,,250.0,,,,,,,,,
2419,,,,25.0,,,250.0,,250.0,,,,,,,,,
2420,,,,25.0,,,250.0,,250.0,,,,,,,,,
