pid,url
86,https://www.apartments.com/woodmont-park-alexandria-va/pf8xges/
87,https://www.apartments.com/mason-hall-alexandria-va/6r7hdxs/
88,https://www.apartments.com/post-carlyle-square-alexandria-va/nb8ze7n/
89,https://www.apartments.com/halstead-tower-by-windsor-alexandria-va/1j3m065/
90,https://www.apartments.com/tuscany-apartments-alexandria-va/rfxp602/
91,https://www.apartments.com/park-vue-alexandria-va/0tc6hh2/
92,https://www.apartments.com/the-reserve-at-eisenhower-alexandria-va/l5cbyef/
93,https://www.apartments.com/1111-belle-pre-alexandria-va/dyfehwk/
94,https://www.apartments.com/lloyd-apartments-alexandria-va/hhp8322/
95,https://www.apartments.com/monticello-lee-alexandria-va/mh37kwl/
96,https://www.apartments.com/courts-of-mount-vernon-alexandria-va/07gx792/
97,https://www.apartments.com/landmark-towers-alexandria-va/cqzn5dd/
98,https://www.apartments.com/lafayette-apartments-alexandria-va/fxc0zfr/
99,https://www.apartments.com/brookville-townhomes-alexandria-va/djy0qej/
100,https://www.apartments.com/washington-square-apartments-alexandria-va/4knkkgh/
101,https://www.apartments.com/southern-towers-alexandria-va/gvdqw8z/
102,https://www.apartments.com/beacon-hill-alexandria-va/syknev7/
103,https://www.apartments.com/hermitage-hill-alexandria-va/89dpcb0/
104,https://www.apartments.com/heritage-at-old-town-alexandria-va/nwpshpm/
105,https://www.apartments.com/lerner-morningside-alexandria-va/gjdk1rw/
106,https://www.apartments.com/lerner-excelsior-tower-alexandria-va/5fb1d4p/
107,https://www.apartments.com/mount-vernon-square-apartments-alexandria-va/0pvv1h3/
108,https://www.apartments.com/seminary-hill-apartments-alexandria-va/sv9kgk7/
109,https://www.apartments.com/baileys-crossing-alexandria-va/27lq75c/
110,https://www.apartments.com/the-strand-of-alexandria-alexandria-va/m969ysj/
111,https://www.apartments.com/ridgeleigh-at-van-dorn-metro-alexandria-va/lqrybyf/
112,https://www.apartments.com/kings-gardens-alexandria-va/chfl9yf/
113,https://www.apartments.com/cherry-arms-alexandria-va/1lrgrc4/
114,https://www.apartments.com/landmark-ridge-alexandria-va/tg69wpb/
115,https://www.apartments.com/avalon-potomac-yard-alexandria-va/hmjgve1/
116,https://www.apartments.com/meadow-woods-alexandria-va/y1plknv/
117,https://www.apartments.com/skyview-apartments-alexandria-va/e644n4n/
118,https://www.apartments.com/new-brookside-apartments-alexandria-va/1v9d146/
119,https://www.apartments.com/commonwealth-crossing-alexandria-va/m47y13j/
120,https://www.apartments.com/mallard-courts-apartments-alexandria-va/e9bbh4m/
