desc,column
Balcony,balcony
Barbecue Area,bbqarea
Barbecue/Grill,bbq
Boat Dock,boatdock
Cabana,cabana
Courtyard,ctyard
Deck,deck
Fenced Lot,fencedlot
Garden,garden
Gated,gated
Grill,grill
Lake Access,lake
Lawn,lawn
NA,na
Patio,patio
Picnic Area,picnicarea
Pond,pond
Porch,porch
Rooftop Lounge,rooflounge
Sundeck,sundeck
Waterfront,waterfront
Yard,yard
Zen Garden,zengarden
