pid,station,distance,time
1244,None,,
1245,None,,
1246,None,,
1247,None,,
1248,Ballston-MU,3.0,9.0
1249,None,,
125,Van Dorn Street,0.5,9.0
1250,None,,
1251,None,,
1252,East Falls Church,1.3,4.0
1252,Ballston-MU,1.5,4.0
1252,Virginia Square-GMU,2.0,5.0
1253,East Falls Church,1.4,4.0
1253,Ballston-MU,1.5,4.0
1253,Virginia Square-GMU,1.9,5.0
1254,Ballston-MU,0.7,2.0
1254,Virginia Square-GMU,1.1,3.0
1254,Clarendon,1.5,6.0
1254,Court House,2.1,8.0
1255,Ballston-MU,3.0,9.0
1255,Virginia Square-GMU,3.4,10.0
1256,Ballston-MU,0.4,1.0
1256,Virginia Square-GMU,0.4,1.0
1256,Clarendon,0.8,3.0
1256,Court House,1.5,5.0
1257,Court House,0.8,3.0
1257,Rosslyn,1.1,4.0
1257,Arlington Cemetery,1.6,3.0
1257,Clarendon,1.7,5.0
1257,Virginia Square-GMU,2.1,7.0
1258,Court House,0.8,3.0
1258,Rosslyn,1.2,3.0
1258,Clarendon,1.8,5.0
1258,Arlington Cemetery,1.8,3.0
1258,Virginia Square-GMU,2.1,6.0
1259,East Falls Church,1.4,4.0
1259,Ballston-MU,1.5,4.0
1259,Virginia Square-GMU,2.0,6.0
126,Huntington,2.0,7.0
126,Eisenhower Avenue,2.7,8.0
1260,Clarendon,0.6,2.0
1260,Court House,1.1,4.0
1260,Virginia Square-GMU,1.2,3.0
1260,Ballston-MU,1.4,5.0
1260,Rosslyn,2.0,6.0
1261,None,,
1262,Rosslyn,0.8,3.0
1262,Court House,1.0,4.0
1262,Clarendon,1.8,6.0
1262,Foggy Bottom-GWU,2.2,9.0
1262,Virginia Square-GMU,2.4,7.0
1263,Ballston-MU,1.3,4.0
1263,Virginia Square-GMU,1.8,5.0
1263,Clarendon,2.1,7.0
1263,East Falls Church,2.4,7.0
1264,Crystal City,0.7,2.0
1264,Pentagon City,1.3,5.0
1264,Ronald Reagan Washington National Airport,1.4,5.0
1264,Pentagon,2.8,7.0
1265,Crystal City,0.4,2.0
1265,Pentagon City,1.2,6.0
1265,Ronald Reagan Washington National Airport,1.6,8.0
1265,Pentagon,2.6,7.0
1266,Court House,0.8,3.0
1266,Clarendon,1.2,5.0
1266,Rosslyn,1.4,4.0
1266,Virginia Square-GMU,1.7,5.0
1266,Ballston-MU,2.1,6.0
1267,Pentagon City,1.5,4.0
1267,Clarendon,2.3,7.0
1267,Crystal City,2.3,6.0
1267,Court House,2.4,7.0
1267,Arlington Cemetery,2.7,5.0
1268,Ballston-MU,0.6,2.0
1268,Virginia Square-GMU,1.0,3.0
1268,Clarendon,1.4,5.0
1268,Court House,2.0,7.0
1269,Clarendon,1.8,6.0
1269,Court House,1.9,6.0
1269,Pentagon City,2.1,4.0
1269,Virginia Square-GMU,2.2,7.0
1269,Arlington Cemetery,3.3,6.0
127,Eisenhower Avenue,0.6,2.0
127,King Street,0.8,3.0
127,Braddock Road,1.3,6.0
127,Huntington,2.0,6.0
1270,Court House,0.4,1.0
1270,Rosslyn,1.0,3.0
1270,Clarendon,1.1,4.0
1270,Virginia Square-GMU,1.7,6.0
1270,Ballston-MU,2.1,7.0
1271,Pentagon City,1.7,4.0
1271,Virginia Square-GMU,2.4,8.0
1271,Crystal City,2.5,7.0
1271,Clarendon,2.8,8.0
1271,Arlington Cemetery,2.9,6.0
1272,Rosslyn,0.6,2.0
1272,Court House,0.8,3.0
1272,Clarendon,1.5,5.0
1272,Virginia Square-GMU,2.1,6.0
1272,Arlington Cemetery,2.3,6.0
1273,Court House,0.8,3.0
1273,Clarendon,1.1,4.0
1273,Rosslyn,1.4,4.0
1273,Virginia Square-GMU,1.6,5.0
1273,Ballston-MU,2.0,5.0
1274,Ballston-MU,0.3,1.0
1274,Virginia Square-GMU,0.5,1.0
1274,Clarendon,0.9,3.0
1274,Court House,1.5,5.0
1275,Court House,0.8,3.0
1275,Clarendon,1.0,4.0
1275,Rosslyn,1.3,4.0
1275,Virginia Square-GMU,1.5,4.0
1275,Ballston-MU,1.9,5.0
1276,East Falls Church,0.8,1.0
1276,West Falls Church,2.1,4.0
1277,Pentagon City,1.5,4.0
1277,Clarendon,2.0,6.0
1277,Crystal City,2.3,6.0
1277,Virginia Square-GMU,2.4,8.0
1277,Arlington Cemetery,2.7,5.0
1278,Court House,0.9,3.0
1278,Clarendon,1.0,3.0
1278,Rosslyn,1.4,3.0
1278,Virginia Square-GMU,1.5,4.0
1278,Ballston-MU,1.9,5.0
1279,Pentagon City,1.5,4.0
1279,Crystal City,2.3,6.0
1279,Clarendon,2.6,7.0
1279,Arlington Cemetery,2.7,5.0
1279,Virginia Square-GMU,3.0,8.0
128,None,,
1280,Ballston-MU,2.2,7.0
1280,Virginia Square-GMU,2.3,7.0
1281,Ballston-MU,0.6,2.0
1281,Virginia Square-GMU,1.0,3.0
1281,Clarendon,1.5,5.0
1281,Court House,2.1,8.0
1282,None,,
1283,Ballston-MU,2.8,9.0
1283,Virginia Square-GMU,3.2,10.0
1284,Ballston-MU,0.5,1.0
1284,Virginia Square-GMU,0.5,2.0
1284,Clarendon,0.8,3.0
1284,Court House,1.4,5.0
1285,Ballston-MU,2.2,7.0
1285,Virginia Square-GMU,2.2,7.0
1285,Clarendon,2.6,8.0
1286,Virginia Square-GMU,0.2,1.0
1286,Clarendon,0.6,2.0
1286,Ballston-MU,0.6,2.0
1286,Court House,1.2,4.0
1286,Rosslyn,2.8,7.0
1287,Court House,0.5,2.0
1287,Rosslyn,1.0,4.0
1287,Clarendon,1.2,4.0
1287,Virginia Square-GMU,1.5,5.0
1287,Arlington Cemetery,1.8,4.0
1288,Clarendon,1.8,6.0
1288,Court House,2.0,6.0
1288,Pentagon City,2.0,5.0
1288,Virginia Square-GMU,2.2,7.0
1288,Arlington Cemetery,3.2,6.0
1289,Rosslyn,0.6,2.0
1289,Court House,0.6,2.0
1289,Clarendon,1.4,4.0
1289,Arlington Cemetery,1.8,4.0
1289,Virginia Square-GMU,1.8,5.0
129,None,,
1290,Rosslyn,0.3,1.0
1290,Court House,0.8,3.0
1290,Arlington Cemetery,1.8,5.0
1290,Foggy Bottom-GWU,2.2,7.0
1290,Clarendon,2.2,6.0
1291,Pentagon City,2.9,5.0
1291,Crystal City,3.6,7.0
1292,Pentagon City,2.8,5.0
1292,Crystal City,3.6,7.0
1293,Court House,0.3,6.0
1293,Virginia Square-GMU,0.6,11.0
1293,Clarendon,0.9,16.0
1293,Rosslyn,1.0,18.0
1293,Ballston-MU,1.0,19.0
1294,Court House,0.5,1.0
1294,Clarendon,0.9,2.0
1294,Virginia Square-GMU,1.3,4.0
1294,Ballston-MU,1.7,5.0
1294,Rosslyn,1.8,5.0
1295,Rosslyn,0.5,2.0
1295,Court House,0.8,3.0
1295,Clarendon,1.6,5.0
1295,Arlington Cemetery,1.7,4.0
1295,Virginia Square-GMU,2.0,6.0
1296,Court House,0.8,3.0
1296,Rosslyn,1.2,3.0
1296,Arlington Cemetery,1.5,3.0
1296,Clarendon,1.8,5.0
1296,Virginia Square-GMU,2.2,6.0
1297,Ballston-MU,2.1,6.0
1297,East Falls Church,2.1,6.0
1298,Crystal City,0.6,2.0
1298,Pentagon City,0.7,4.0
1298,Ronald Reagan Washington National Airport,1.6,5.0
1298,Arlington Cemetery,2.1,4.0
1298,Pentagon,2.1,5.0
1299,Clarendon,0.3,1.0
1299,Virginia Square-GMU,0.6,3.0
1299,Court House,1.0,3.0
1299,Ballston-MU,1.0,3.0
1299,Rosslyn,2.4,6.0
13,None,,
130,Huntington,0.7,4.0
130,Eisenhower Avenue,1.1,3.0
130,King Street,1.8,7.0
130,Braddock Road,2.8,11.0
1300,Pentagon City,2.3,6.0
1300,Crystal City,3.0,8.0
1301,Crystal City,2.0,5.0
1301,Ronald Reagan Washington National Airport,2.4,7.0
1301,Pentagon City,2.4,6.0
1301,Pentagon,4.2,8.0
1302,Ballston-MU,1.4,5.0
1302,Court House,1.5,5.0
1302,Clarendon,1.6,5.0
1302,Virginia Square-GMU,1.7,5.0
1302,Rosslyn,2.0,5.0
1303,Pentagon City,3.0,6.0
1304,East Falls Church,2.5,10.0
1304,Ballston-MU,2.7,11.0
1305,East Falls Church,2.0,8.0
1305,Ballston-MU,2.6,9.0
1306,Clarendon,0.3,1.0
1306,Virginia Square-GMU,0.7,3.0
1306,Court House,0.7,3.0
1306,Ballston-MU,1.1,4.0
1306,Rosslyn,1.8,5.0
1307,Ballston-MU,2.3,7.0
1308,Court House,0.8,3.0
1308,Clarendon,0.9,3.0
1308,Rosslyn,1.4,3.0
1308,Virginia Square-GMU,1.4,4.0
1308,Ballston-MU,1.8,5.0
1309,Virginia Square-GMU,0.3,1.0
1309,Clarendon,0.4,1.0
1309,Ballston-MU,0.7,2.0
1309,Court House,1.1,4.0
1309,Rosslyn,2.6,6.0
131,None,,
1310,Virginia Square-GMU,0.6,2.0
1310,Ballston-MU,0.7,3.0
1310,Clarendon,1.0,4.0
1310,Court House,1.7,6.0
1311,Ballston-MU,2.2,7.0
1311,Virginia Square-GMU,2.3,8.0
1312,None,,
1313,Court House,0.5,2.0
1313,Rosslyn,1.0,4.0
1313,Clarendon,1.2,4.0
1313,Virginia Square-GMU,1.6,5.0
1313,Arlington Cemetery,1.8,4.0
1314,Court House,0.6,2.0
1314,Clarendon,0.6,2.0
1314,Virginia Square-GMU,1.0,4.0
1314,Ballston-MU,1.4,5.0
1314,Rosslyn,1.6,4.0
1315,Pentagon City,0.2,1.0
1315,Crystal City,0.8,3.0
1315,Pentagon,0.9,6.0
1315,Ronald Reagan Washington National Airport,2.3,8.0
1315,Arlington Cemetery,2.9,7.0
1316,Clarendon,0.3,1.0
1316,Virginia Square-GMU,0.5,2.0
1316,Ballston-MU,0.9,3.0
1316,Court House,1.0,3.0
1316,Rosslyn,2.6,6.0
1317,Pentagon City,2.7,4.0
1317,Crystal City,3.4,6.0
1318,Ballston-MU,0.4,1.0
1318,Virginia Square-GMU,0.5,2.0
1318,Clarendon,0.8,3.0
1318,Court House,1.5,5.0
1319,Ballston-MU,0.6,2.0
1319,Virginia Square-GMU,1.0,3.0
1319,Clarendon,1.4,5.0
1319,Court House,2.1,7.0
132,None,,
1320,Court House,0.7,2.0
1320,Rosslyn,0.7,2.0
1320,Clarendon,1.5,4.0
1320,Arlington Cemetery,1.8,4.0
1320,Virginia Square-GMU,1.8,5.0
1321,Pentagon City,1.7,4.0
1321,Virginia Square-GMU,2.4,8.0
1321,Crystal City,2.5,6.0
1321,Clarendon,2.8,7.0
1321,Arlington Cemetery,2.9,6.0
1322,Virginia Square-GMU,0.3,1.0
1322,Clarendon,0.4,1.0
1322,Ballston-MU,0.7,2.0
1322,Court House,1.0,3.0
1322,Rosslyn,2.7,6.0
1323,Rosslyn,0.4,1.0
1323,Court House,1.4,5.0
1323,Foggy Bottom-GWU,1.7,6.0
1323,Arlington Cemetery,1.7,4.0
1323,Clarendon,2.2,6.0
1324,Court House,0.4,1.0
1324,Rosslyn,0.8,3.0
1324,Clarendon,1.5,4.0
1324,Arlington Cemetery,1.7,3.0
1324,Virginia Square-GMU,1.9,6.0
1325,Rosslyn,0.1,1.0
1325,Court House,1.0,4.0
1325,Arlington Cemetery,1.6,4.0
1325,Foggy Bottom-GWU,1.9,7.0
1325,Clarendon,2.0,5.0
1326,Ballston-MU,1.4,5.0
1326,Court House,1.5,4.0
1326,Clarendon,1.6,4.0
1326,Virginia Square-GMU,1.7,5.0
1326,Rosslyn,2.0,5.0
1327,Clarendon,0.7,2.0
1327,Court House,1.1,4.0
1327,Virginia Square-GMU,1.1,3.0
1327,Ballston-MU,1.5,5.0
1327,Rosslyn,2.1,7.0
1328,Clarendon,1.9,6.0
1328,Court House,2.0,6.0
1328,Pentagon City,2.1,5.0
1328,Virginia Square-GMU,2.2,8.0
1328,Arlington Cemetery,3.3,7.0
1329,East Falls Church,0.7,12.0
133,King Street,1.1,6.0
133,Braddock Road,1.7,7.0
133,Eisenhower Avenue,2.3,5.0
133,Huntington,2.9,7.0
1330,Court House,0.4,1.0
1330,Rosslyn,1.0,2.0
1330,Clarendon,1.1,4.0
1330,Virginia Square-GMU,1.8,6.0
1330,Ballston-MU,2.2,7.0
1331,Virginia Square-GMU,0.2,1.0
1331,Ballston-MU,0.6,2.0
1331,Clarendon,0.6,2.0
1331,Court House,1.3,4.0
1331,Rosslyn,2.8,7.0
1332,Virginia Square-GMU,1.1,4.0
1332,Ballston-MU,1.2,4.0
1332,Clarendon,1.6,5.0
1332,Court House,2.6,7.0
1333,Pentagon City,0.4,2.0
1333,Crystal City,0.6,2.0
1333,Pentagon,0.6,5.0
1333,Ronald Reagan Washington National Airport,1.9,7.0
1333,Arlington Cemetery,2.6,5.0
1334,Rosslyn,0.7,2.0
1334,Court House,0.7,2.0
1334,Clarendon,1.4,4.0
1334,Arlington Cemetery,1.5,4.0
1334,Virginia Square-GMU,1.8,5.0
1335,Court House,0.8,3.0
1335,Clarendon,0.9,3.0
1335,Virginia Square-GMU,1.3,5.0
1335,Rosslyn,1.6,4.0
1335,Ballston-MU,1.7,5.0
1336,Clarendon,0.7,2.0
1336,Court House,0.9,3.0
1336,Virginia Square-GMU,1.0,4.0
1336,Ballston-MU,1.5,5.0
1336,Rosslyn,1.9,6.0
1337,Court House,0.4,1.0
1337,Rosslyn,0.9,2.0
1337,Clarendon,1.1,4.0
1337,Virginia Square-GMU,1.5,6.0
1337,Ballston-MU,1.9,7.0
1338,Court House,0.5,3.0
1338,Rosslyn,0.9,2.0
1338,Clarendon,1.3,5.0
1338,Arlington Cemetery,1.9,4.0
1338,Virginia Square-GMU,2.2,7.0
1339,Virginia Square-GMU,0.6,2.0
1339,Ballston-MU,0.7,3.0
1339,Clarendon,1.0,4.0
1339,Court House,1.7,6.0
134,None,,
1340,Clarendon,1.7,5.0
1340,Court House,1.9,6.0
1340,Pentagon City,2.0,4.0
1340,Virginia Square-GMU,2.1,7.0
1340,Arlington Cemetery,3.2,6.0
1341,None,,
1342,Rosslyn,0.5,2.0
1342,Court House,0.8,3.0
1342,Clarendon,1.5,4.0
1342,Arlington Cemetery,1.7,4.0
1342,Virginia Square-GMU,1.9,6.0
1343,Pentagon City,2.1,6.0
1343,Virginia Square-GMU,2.2,7.0
1343,Ballston-MU,2.3,7.0
1343,Clarendon,2.6,8.0
1344,Clarendon,1.8,6.0
1344,Court House,1.9,6.0
1344,Pentagon City,2.1,4.0
1344,Virginia Square-GMU,2.2,7.0
1344,Arlington Cemetery,3.3,6.0
1345,Ballston-MU,1.4,5.0
1345,Virginia Square-GMU,1.7,6.0
1345,Court House,2.2,7.0
1345,Clarendon,2.4,7.0
1346,Court House,0.5,1.0
1346,Rosslyn,0.8,3.0
1346,Clarendon,1.6,4.0
1346,Arlington Cemetery,1.8,3.0
1346,Virginia Square-GMU,2.0,6.0
1347,Rosslyn,0.2,1.0
1347,Court House,0.9,4.0
1347,Arlington Cemetery,1.6,4.0
1347,Foggy Bottom-GWU,1.9,7.0
