pid,type
514,Apartment
515,Apartment
516,Apartment
517,Apartment
518,Apartment
519,Apartment
520,Apartment
521,Apartment
522,Apartment
523,Apartment
524,Apartment
525,Apartment
526,Apartment
527,Apartment
528,Apartment
529,Apartment
530,Apartment
531,Apartment
532,Apartment
533,Apartment
534,Apartment
535,Apartment
536,Apartment
537,Apartment
538,Apartment
539,Apartment
540,Apartment
541,Apartment
542,Apartment
543,Apartment
544,Apartment
545,Apartment
546,Apartment
547,Apartment
548,Apartment
549,Apartment
550,Apartment
551,Apartment
552,Apartment
553,Apartment
554,Apartment
555,Apartment
556,Apartment
557,Apartment
558,Apartment
559,Apartment
560,Apartment
561,Apartment
562,Apartment
563,Apartment
564,Apartment
565,Apartment
566,Apartment
567,Apartment
568,Apartment
569,Apartment
570,Apartment
571,Apartment
572,Apartment
573,Apartment
574,Apartment
575,Apartment
576,Apartment
577,Apartment
578,Apartment
579,Apartment
580,Apartment
581,Apartment
582,Apartment
583,Apartment
584,Apartment
585,Apartment
586,Apartment
587,Apartment
588,Apartment
589,Apartment
590,Apartment
591,Apartment
592,Apartment
593,Apartment
594,Apartment
595,Apartment
596,Apartment
597,Apartment
598,Apartment
599,Apartment
600,Apartment
601,Apartment
602,Apartment
603,Apartment
604,Apartment
605,Apartment
606,Apartment
607,Apartment
608,Apartment
609,Apartment
610,Apartment
611,Apartment
612,Apartment
613,Apartment
614,Apartment
615,Apartment
616,Apartment
617,Apartment
618,Apartment
619,Apartment
620,Apartment
621,Apartment
622,Apartment
623,Apartment
624,Apartment
625,Apartment
626,Apartment
627,Apartment
628,Apartment
629,Apartment
630,Apartment
631,Apartment
632,Apartment
633,Apartment
634,Apartment
635,Apartment
636,Condo
637,House
638,Condo
639,House
640,Townhome
641,House
642,House
643,Condo
644,Townhome
645,House
646,House
647,Unknown
648,House
649,Unknown
650,Townhome
651,Townhome
652,Condo
653,Condo
654,House
655,Condo
656,Townhome
657,House
658,Condo
659,Townhome
660,House
661,Condo
662,House
663,House
664,Townhome
665,House
666,House
667,Townhome
668,House
669,Townhome
670,Apartment
671,Apartment
672,Apartment
673,Apartment
674,Apartment
675,Apartment
676,Apartment
677,Apartment
678,Apartment
679,Apartment
680,Apartment
681,Apartment
682,Apartment
683,Apartment
684,Apartment
685,Apartment
686,Apartment
687,Apartment
688,Apartment
689,Apartment
690,Condo
691,Unknown
692,Condo
693,Townhome
694,Condo
695,Apartment
696,Condo
697,Townhome
698,Condo
699,Condo
700,House
701,Townhome
702,House
703,House
704,Condo
705,Condo
706,Condo
707,Townhome
708,House
709,House
710,Townhome
711,House
712,House
713,Townhome
714,House
715,Townhome
716,Townhome
717,House
718,House
719,Townhome
720,Townhome
721,House
722,Condo
723,Condo
724,Condo
725,Condo
726,Condo
727,Condo
728,Condo
729,Unknown
730,Unknown
731,Unknown
732,House
733,Condo
734,Townhome
735,House
736,House
737,Condo
738,House
739,House
740,Townhome
741,Townhome
742,Townhome
743,Townhome
744,House
745,House
746,Townhome
747,Condo
748,House
749,House
750,House
751,House
752,House
753,Unknown
754,Townhome
755,Condo
756,House
757,Condo
758,Condo
759,Condo
760,Condo
761,Condo
762,Townhome
763,House
764,Townhome
765,Townhome
766,House
767,House
768,House
769,House
770,House
771,House
772,House
773,House
774,Townhome
775,House
776,House
777,House
778,Condo
779,Townhome
780,Townhome
781,House
782,Townhome
783,Townhome
784,Townhome
785,Townhome
786,Townhome
787,Townhome
788,House
789,House
790,House
791,Condo
792,House
793,House
794,Townhome
795,Apartment
796,Apartment
797,Apartment
798,Apartment
799,Apartment
800,Apartment
801,Apartment
802,Apartment
803,Apartment
804,Apartment
805,Apartment
806,Apartment
807,Apartment
808,Apartment
809,Apartment
810,Apartment
811,Apartment
812,Apartment
813,Apartment
814,Apartment
815,Apartment
816,Apartment
817,Apartment
818,Apartment
819,Apartment
820,Apartment
821,Apartment
822,Apartment
823,Apartment
824,Apartment
825,Apartment
826,Apartment
827,Apartment
828,Apartment
829,Apartment
830,Apartment
831,Apartment
832,Apartment
833,Apartment
834,Apartment
835,Apartment
836,Apartment
837,Apartment
838,Apartment
839,Apartment
840,Apartment
841,Apartment
842,Apartment
843,Apartment
844,Apartment
845,Apartment
846,Apartment
847,Apartment
848,Apartment
849,Apartment
850,Apartment
851,Apartment
852,Apartment
853,House
854,House
855,Townhome
856,Townhome
857,House
858,House
859,House
860,House
861,Townhome
862,Apartment
863,Apartment
864,Apartment
865,Apartment
866,Apartment
867,Apartment
868,Apartment
869,Apartment
870,Apartment
871,Apartment
872,Apartment
873,Apartment
874,Apartment
875,Apartment
876,Apartment
877,Apartment
878,Apartment
879,Apartment
880,Apartment
881,Apartment
882,Apartment
883,Apartment
884,Apartment
885,Apartment
886,Apartment
887,Apartment
888,Apartment
889,Apartment
890,Apartment
891,Apartment
892,Apartment
893,Apartment
894,Apartment
895,Apartment
896,Apartment
897,Apartment
898,Apartment
899,Apartment
900,Apartment
901,Apartment
902,Apartment
903,Apartment
904,Apartment
905,Apartment
906,Apartment
907,Apartment
908,Apartment
909,Apartment
910,Apartment
911,Apartment
912,Apartment
913,Apartment
914,Apartment
915,Apartment
916,Apartment
917,Apartment
918,Apartment
919,Apartment
920,Apartment
921,Apartment
922,Apartment
923,Apartment
924,Apartment
925,Apartment
926,Apartment
927,Apartment
928,Apartment
929,Apartment
930,Apartment
931,Apartment
932,Apartment
933,Apartment
934,Apartment
935,Apartment
936,Apartment
937,Apartment
938,Apartment
939,Apartment
940,Apartment
941,Apartment
942,Apartment
943,Apartment
944,Apartment
945,Apartment
946,Apartment
947,Apartment
948,Apartment
949,Apartment
950,Apartment
951,Apartment
952,Apartment
953,Apartment
954,Apartment
955,Apartment
956,Apartment
957,Apartment
958,Apartment
959,Apartment
960,Apartment
961,Apartment
962,Apartment
963,Apartment
964,Apartment
965,Apartment
966,Apartment
967,Apartment
968,Apartment
969,Apartment
970,Apartment
971,Apartment
972,Apartment
973,Apartment
974,Apartment
975,Apartment
976,Apartment
977,Apartment
978,Apartment
979,Apartment
980,Apartment
981,Apartment
982,Apartment
983,Apartment
984,Apartment
985,Apartment
986,Apartment
987,Apartment
988,Apartment
989,Apartment
990,Apartment
991,Apartment
992,Apartment
993,Apartment
994,Apartment
995,Apartment
996,Apartment
997,Condo
998,Condo
999,Condo
1000,Condo
1001,Unknown
1002,House
1003,Condo
1004,Condo
1005,Condo
1006,Unknown
1007,Unknown
1008,Condo
1009,Condo
1010,Unknown
1011,Condo
1012,Unknown
1013,Condo
1014,House
1015,Unknown
1016,Unknown
1017,Unknown
1018,Condo
1019,House
1020,Condo
1021,Condo
1022,Unknown
1023,Unknown
1024,Condo
1025,Unknown
1026,Condo
1027,Unknown
1028,Condo
1029,Condo
1030,Condo
1031,Unknown
1032,Condo
1033,Unknown
1034,Townhome
1035,Unknown
1036,Condo
1037,Condo
1038,Townhome
1039,House
1040,Condo
1041,Condo
1042,Condo
1043,Unknown
1044,House
1045,House
1046,Apartment
1047,Apartment
1048,Apartment
1049,Apartment
1050,Apartment
1051,Apartment
1052,Apartment
1053,Apartment
1054,Apartment
1055,Apartment
1056,Apartment
1057,Apartment
1058,Condo
1059,Condo
1060,Condo
1061,Condo
1062,Condo
1063,Condo
