pid,beds,baths,minrent,maxrent,minsqft,maxsqft
21,2.0,2.0,1595.0,1595.0,1130.0,1130.0
21,2.0,2.0,2060.0,2394.0,1130.0,1130.0
21,2.0,2.0,2067.0,2067.0,1130.0,1130.0
22,0.0,1.0,1565.0,1565.0,447.0,447.0
22,1.0,1.0,1890.0,1920.0,632.0,632.0
22,1.0,1.0,1900.0,1900.0,632.0,632.0
22,1.0,1.0,1900.0,1900.0,632.0,632.0
22,1.0,1.0,1900.0,1900.0,632.0,632.0
22,1.0,1.0,1910.0,1910.0,632.0,632.0
22,1.0,1.0,1910.0,1910.0,632.0,632.0
22,1.0,1.0,1920.0,1920.0,632.0,632.0
22,1.0,1.0,1920.0,1920.0,632.0,632.0
22,1.0,1.0,1920.0,1920.0,632.0,632.0
22,1.0,1.0,1925.0,1925.0,691.0,691.0
22,1.0,1.0,1925.0,1925.0,691.0,691.0
22,1.0,1.0,2186.0,2261.0,1005.0,1005.0
22,1.0,1.0,2186.0,2186.0,1005.0,1005.0
22,1.0,1.0,2195.0,2195.0,1005.0,1005.0
22,1.0,1.0,2195.0,2195.0,1005.0,1005.0
22,1.0,1.0,2204.0,2204.0,1005.0,1005.0
22,1.0,1.0,2204.0,2204.0,1005.0,1005.0
22,1.0,1.0,2214.0,2214.0,1005.0,1005.0
22,1.0,1.0,2214.0,2214.0,1005.0,1005.0
22,1.0,1.0,2223.0,2223.0,1005.0,1005.0
22,1.0,1.0,2233.0,2233.0,1005.0,1005.0
22,1.0,1.0,2233.0,2233.0,1005.0,1005.0
22,1.0,1.0,2242.0,2242.0,1005.0,1005.0
22,1.0,1.0,2242.0,2242.0,1005.0,1005.0
22,1.0,1.0,2251.0,2251.0,1005.0,1005.0
22,1.0,1.0,2251.0,2251.0,1005.0,1005.0
22,1.0,1.0,2261.0,2261.0,1005.0,1005.0
22,1.0,1.0,2261.0,2261.0,1005.0,1005.0
22,1.0,1.0,2222.0,2400.0,995.0,995.0
22,1.0,1.0,2222.0,2222.0,995.0,995.0
22,1.0,1.0,2325.0,2325.0,995.0,995.0
22,1.0,1.0,2335.0,2335.0,995.0,995.0
22,1.0,1.0,2335.0,2335.0,995.0,995.0
22,1.0,1.0,2345.0,2345.0,995.0,995.0
22,1.0,1.0,2345.0,2345.0,995.0,995.0
22,1.0,1.0,2345.0,2345.0,995.0,995.0
22,1.0,1.0,2355.0,2355.0,995.0,995.0
22,1.0,1.0,2355.0,2355.0,995.0,995.0
22,1.0,1.0,2355.0,2355.0,995.0,995.0
22,1.0,1.0,2365.0,2365.0,995.0,995.0
22,1.0,1.0,2375.0,2375.0,995.0,995.0
22,1.0,1.0,2385.0,2385.0,995.0,995.0
22,1.0,1.0,2400.0,2400.0,995.0,995.0
22,1.0,1.0,2470.0,2600.0,1062.0,1062.0
22,1.0,1.0,2470.0,2470.0,1062.0,1062.0
22,1.0,1.0,2480.0,2480.0,1062.0,1062.0
22,1.0,1.0,2480.0,2480.0,1062.0,1062.0
22,1.0,1.0,2480.0,2480.0,1062.0,1062.0
22,1.0,1.0,2490.0,2490.0,1062.0,1062.0
22,1.0,1.0,2490.0,2490.0,1062.0,1062.0
22,1.0,1.0,2490.0,2490.0,1062.0,1062.0
22,1.0,1.0,2490.0,2490.0,1062.0,1062.0
22,1.0,1.0,2500.0,2500.0,1062.0,1062.0
22,1.0,1.0,2500.0,2500.0,1062.0,1062.0
22,1.0,1.0,2500.0,2500.0,1062.0,1062.0
22,1.0,1.0,2600.0,2600.0,1062.0,1062.0
22,1.0,1.0,1890.0,1890.0,632.0,632.0
22,1.0,1.0,1890.0,1890.0,632.0,632.0
22,1.0,1.0,2500.0,2500.0,1062.0,1062.0
22,1.0,1.0,1800.0,1800.0,609.0,609.0
22,1.0,1.0,1875.0,1875.0,641.0,641.0
22,1.0,1.0,1880.0,1880.0,670.0,670.0
22,1.0,1.0,1880.0,1880.0,679.0,679.0
22,1.0,1.0,1925.0,1925.0,697.0,697.0
22,1.0,1.0,1950.0,1950.0,715.0,715.0
22,1.0,1.0,1950.0,1950.0,718.0,718.0
22,1.0,1.0,1975.0,1975.0,775.0,775.0
22,1.0,1.0,2200.0,2200.0,963.0,963.0
22,1.0,1.0,2300.0,2300.0,991.0,991.0
22,2.0,2.0,2760.0,2995.0,1150.0,1150.0
22,2.0,2.0,2760.0,2760.0,1150.0,1150.0
22,2.0,2.0,2770.0,2770.0,1150.0,1150.0
22,2.0,2.0,2779.0,2779.0,1150.0,1150.0
22,2.0,2.0,2789.0,2789.0,1150.0,1150.0
22,2.0,2.0,2789.0,2789.0,1150.0,1150.0
22,2.0,2.0,2798.0,2798.0,1150.0,1150.0
22,2.0,2.0,2798.0,2798.0,1150.0,1150.0
22,2.0,2.0,2808.0,2808.0,1150.0,1150.0
22,2.0,2.0,2818.0,2818.0,1150.0,1150.0
22,2.0,2.0,2827.0,2827.0,1150.0,1150.0
22,2.0,2.0,2837.0,2837.0,1150.0,1150.0
22,2.0,2.0,2965.0,2965.0,1150.0,1150.0
22,2.0,2.0,2965.0,2965.0,1150.0,1150.0
22,2.0,2.0,2975.0,2975.0,1150.0,1150.0
22,2.0,2.0,2975.0,2975.0,1150.0,1150.0
22,2.0,2.0,2985.0,2985.0,1150.0,1150.0
22,2.0,2.0,2995.0,2995.0,1150.0,1150.0
23,0.0,1.0,1570.0,3741.0,540.0,540.0
23,0.0,1.0,1570.0,1570.0,540.0,540.0
23,0.0,1.0,1580.0,1580.0,540.0,540.0
23,0.0,1.0,1584.0,1584.0,540.0,540.0
23,0.0,1.0,1690.0,1690.0,540.0,540.0
23,0.0,1.0,1603.0,1603.0,540.0,540.0
23,0.0,1.0,1598.0,1598.0,540.0,540.0
23,0.0,1.0,1621.0,3111.0,540.0,540.0
23,1.0,1.0,1747.0,3778.0,688.0,688.0
23,1.0,1.0,1747.0,1747.0,688.0,688.0
23,1.0,1.0,1810.0,1810.0,688.0,688.0
23,1.0,1.0,1819.0,3882.0,720.0,720.0
23,1.0,1.0,1868.0,1868.0,720.0,720.0
23,1.0,1.0,1893.0,1893.0,720.0,720.0
23,1.0,1.0,1860.0,4010.0,800.0,800.0
23,1.0,1.0,1860.0,1860.0,800.0,800.0
23,1.0,1.0,1869.0,1869.0,800.0,800.0
23,1.0,1.0,1949.0,4020.0,830.0,830.0
23,1.0,1.0,1949.0,1949.0,830.0,830.0
23,1.0,1.0,1868.0,1868.0,720.0,720.0
23,1.0,1.0,1828.0,1828.0,720.0,720.0
23,1.0,1.0,1894.0,3789.0,752.0,752.0
23,1.0,1.0,1894.0,1894.0,752.0,752.0
23,1.0,1.0,1456.0,3267.0,626.0,626.0
23,1.0,1.0,1477.0,3588.0,612.0,612.0
23,1.0,1.0,1515.0,3216.0,620.0,620.0
23,1.0,1.0,1536.0,3715.0,639.0,639.0
23,1.0,1.0,1544.0,3727.0,640.0,640.0
23,1.0,1.0,1693.0,3228.0,637.0,637.0
23,1.0,1.0,1745.0,3517.0,736.0,736.0
23,1.0,1.0,1967.0,3579.0,886.0,886.0
23,2.0,2.0,2183.0,4708.0,1080.0,1080.0
23,2.0,2.0,2183.0,2183.0,1080.0,1080.0
23,2.0,2.0,2210.0,4714.0,1066.0,1066.0
23,2.0,2.0,2210.0,2210.0,1066.0,1066.0
23,2.0,2.0,2305.0,4840.0,1071.0,1071.0
23,2.0,2.0,2305.0,2305.0,1071.0,1071.0
23,2.0,2.0,2310.0,2310.0,1071.0,1071.0
23,2.0,2.0,2423.0,5074.0,1244.0,1244.0
23,2.0,2.0,2431.0,2431.0,1244.0,1244.0
23,2.0,2.0,2190.0,4584.0,1082.0,1082.0
23,2.0,2.0,2198.0,2198.0,1082.0,1082.0
23,2.0,2.0,3035.0,6238.0,1608.0,1608.0
23,2.0,2.0,3043.0,3043.0,1608.0,1608.0
23,2.0,2.0,2280.0,4732.0,1087.0,1087.0
23,2.0,2.0,2288.0,2288.0,1087.0,1087.0
23,2.0,2.0,2220.0,4592.0,1128.0,1128.0
23,2.0,2.0,2228.0,2228.0,1128.0,1128.0
23,2.0,2.0,1685.0,3723.0,1077.0,1077.0
23,2.0,2.0,1738.0,3800.0,830.0,830.0
23,2.0,2.0,1830.0,3993.0,1054.0,1054.0
23,2.0,2.0,2076.0,4361.0,1113.0,1113.0
23,2.0,2.0,2093.0,4613.0,1219.0,1219.0
23,2.0,2.0,2170.0,4591.0,1096.0,1096.0
24,0.0,1.0,1675.0,1675.0,538.0,538.0
24,0.0,1.0,1675.0,1675.0,538.0,538.0
24,0.0,1.0,1760.0,1760.0,538.0,538.0
24,0.0,1.0,1795.0,1795.0,557.0,557.0
24,1.0,1.0,1735.0,1865.0,665.0,665.0
24,1.0,1.0,1780.0,1780.0,665.0,665.0
24,1.0,1.0,1780.0,1780.0,665.0,665.0
24,1.0,1.0,1780.0,1780.0,665.0,665.0
24,1.0,1.0,1780.0,1780.0,665.0,665.0
24,1.0,1.0,1755.0,1755.0,677.0,677.0
24,1.0,1.0,1755.0,1755.0,677.0,677.0
24,1.0,1.0,1885.0,1885.0,718.0,718.0
24,1.0,1.0,1885.0,1885.0,718.0,718.0
24,1.0,1.0,1885.0,1885.0,718.0,718.0
24,1.0,1.0,1900.0,1900.0,718.0,718.0
24,1.0,1.0,1770.0,1870.0,738.0,738.0
24,1.0,1.0,1770.0,1770.0,738.0,738.0
24,1.0,1.0,1785.0,1785.0,738.0,738.0
24,1.0,1.0,1870.0,1935.0,766.0,766.0
24,1.0,1.0,1870.0,1870.0,766.0,766.0
24,1.0,1.0,1870.0,1870.0,766.0,766.0
24,1.0,1.0,1920.0,1920.0,766.0,766.0
24,1.0,1.0,1885.0,1885.0,718.0,718.0
24,1.0,1.0,1885.0,1885.0,718.0,718.0
24,1.0,1.0,1885.0,1885.0,718.0,718.0
24,1.0,1.0,1935.0,1935.0,757.0,757.0
24,1.0,1.0,1935.0,1935.0,757.0,757.0
24,1.0,1.0,1935.0,1935.0,757.0,757.0
24,1.0,1.0,1935.0,1935.0,757.0,757.0
24,1.0,1.0,2125.0,2125.0,826.0,826.0
24,1.0,1.0,2125.0,2125.0,826.0,826.0
24,1.0,1.0,2125.0,2125.0,865.0,865.0
24,1.0,1.0,2265.0,2265.0,944.0,944.0
24,1.0,1.0,2265.0,2265.0,944.0,944.0
24,1.0,1.0,1735.0,1735.0,665.0,665.0
24,1.0,1.0,1905.0,1905.0,766.0,766.0
24,1.0,1.0,1935.0,1935.0,757.0,757.0
24,1.0,1.0,1935.0,1935.0,766.0,766.0
24,1.0,1.0,1735.0,1735.0,665.0,665.0
24,1.0,1.0,2125.0,2125.0,826.0,826.0
24,1.0,1.0,1870.0,1870.0,738.0,738.0
24,1.0,1.0,2120.0,2120.0,863.0,863.0
24,1.0,1.0,2120.0,2120.0,863.0,863.0
24,1.0,1.0,1900.0,1900.0,766.0,766.0
24,1.0,1.0,1865.0,1865.0,665.0,665.0
24,1.0,1.0,1900.0,1900.0,766.0,766.0
24,1.0,1.0,1755.0,1755.0,718.0,718.0
24,1.0,1.0,1805.0,1805.0,706.0,706.0
24,1.0,1.0,1855.0,1855.0,751.0,751.0
24,1.0,1.0,1885.0,1885.0,734.0,734.0
24,1.0,1.0,1885.0,1885.0,749.0,749.0
24,1.0,1.0,1915.0,1915.0,737.0,737.0
24,1.0,1.0,1940.0,1940.0,760.0,760.0
24,1.0,1.0,2085.0,2085.0,900.0,900.0
24,1.0,1.0,2090.0,2090.0,905.0,905.0
24,1.0,1.0,2100.0,2100.0,807.0,807.0
24,1.0,1.0,2155.0,2155.0,910.0,910.0
24,1.0,1.0,2160.0,2160.0,926.0,926.0
24,1.0,1.0,2215.0,2215.0,872.0,872.0
24,2.0,2.0,2377.0,2377.0,1143.0,1143.0
24,2.0,2.0,2377.0,2377.0,1143.0,1143.0
24,2.0,2.0,2377.0,2377.0,1150.0,1150.0
24,2.0,2.0,2377.0,2377.0,1150.0,1150.0
24,2.0,2.0,2372.0,2372.0,1089.0,1089.0
24,2.0,2.0,2372.0,2372.0,1089.0,1089.0
24,2.0,2.0,2357.0,2357.0,1126.0,1126.0
24,2.0,2.0,2357.0,2357.0,1126.0,1126.0
24,2.0,2.0,2382.0,2382.0,1150.0,1150.0
24,2.0,2.0,2382.0,2382.0,1150.0,1150.0
24,2.0,2.0,2250.0,2250.0,956.0,956.0
24,2.0,2.0,2342.0,2342.0,988.0,988.0
24,2.0,2.0,2352.0,2352.0,1078.0,1078.0
24,2.0,2.0,2362.0,2362.0,1160.0,1160.0
24,2.0,2.0,2367.0,2367.0,1130.0,1130.0
24,2.0,2.0,2372.0,2372.0,1132.0,1132.0
24,2.0,2.0,2392.0,2392.0,1100.0,1100.0
24,2.0,2.0,2402.0,2402.0,1192.0,1192.0
24,2.0,2.0,2447.0,2447.0,1162.0,1162.0
24,2.0,2.0,2775.0,2775.0,1245.0,1245.0
24,2.0,2.0,2775.0,2775.0,1316.0,1316.0
24,2.0,2.0,2900.0,2900.0,1326.0,1326.0
25,1.0,1.0,1535.0,1775.0,821.0,821.0
25,1.0,1.0,1590.0,1802.0,948.0,948.0
25,1.0,2.0,1894.0,1894.0,1128.0,1128.0
25,1.0,2.0,1918.0,1918.0,1056.0,1056.0
25,2.0,2.0,1661.0,1928.0,1065.0,1065.0
25,2.0,2.0,1697.0,1909.0,1091.0,1091.0
25,2.0,2.0,1735.0,1935.0,1164.0,1164.0
25,2.0,2.0,1891.0,1992.0,1148.0,1148.0
25,2.0,3.0,2256.0,2256.0,1350.0,1350.0
25,2.0,3.0,2431.0,2441.0,1256.0,1256.0
25,2.0,3.0,2256.0,2491.0,1310.0,1310.0
26,1.0,1.0,1366.0,3878.0,850.0,850.0
26,1.0,1.0,1495.0,3082.0,550.0,550.0
26,1.0,1.0,1510.0,3338.0,550.0,550.0
26,1.0,1.0,1818.0,2846.0,850.0,850.0
26,2.0,1.0,2269.0,5471.0,1186.0,1186.0
26,2.0,2.0,1776.0,2833.0,1027.0,1027.0
26,2.0,2.0,2012.0,5080.0,1134.0,1134.0
26,2.0,2.0,2051.0,3584.0,1027.0,1027.0
26,2.0,2.0,2093.0,5111.0,1378.0,1378.0
26,2.0,2.0,2162.0,5194.0,1196.0,1196.0
26,2.0,2.0,2262.0,5757.0,1196.0,1196.0
26,2.0,2.0,2042.0,2387.0,1134.0,1134.0
26,2.0,2.0,2399.0,2459.0,1378.0,1378.0
26,3.0,2.0,2646.0,5454.0,1500.0,1500.0
26,4.0,2.0,3249.0,3249.0,3000.0,3000.0
27,0.0,1.5,,,,
27,1.0,1.0,1414.0,1637.0,940.0,940.0
27,1.0,1.0,1533.0,1897.0,1058.0,1058.0
27,1.0,1.0,1677.0,1946.0,1120.0,1120.0
27,2.0,1.5,1795.0,1909.0,1120.0,1120.0
27,2.0,2.0,1686.0,2093.0,1245.0,1245.0
27,2.0,2.0,2048.0,2048.0,1445.0,1445.0
27,2.0,2.0,2222.0,2323.0,1425.0,1425.0
27,3.0,2.5,2502.0,2502.0,1900.0,1900.0
27,3.0,3.0,2527.0,2577.0,1900.0,1900.0
27,4.0,2.5,2584.0,2584.0,1900.0,1900.0
28,1.0,1.0,1567.0,1689.0,615.0,615.0
28,1.0,1.0,1613.0,1753.0,713.0,713.0
28,1.0,1.0,1827.0,1827.0,705.0,705.0
28,1.0,1.0,1876.0,1910.0,874.0,874.0
28,2.0,2.0,2154.0,2281.0,1132.0,1132.0
28,2.0,2.0,1806.0,1846.0,1170.0,1170.0
29,1.0,1.0,1696.0,2205.0,730.0,730.0
29,1.0,1.0,1862.0,2332.0,865.0,865.0
29,1.0,1.0,1871.0,2631.0,1005.0,1005.0
29,1.0,1.0,1963.0,2520.0,980.0,980.0
29,1.0,1.0,1591.0,1606.0,690.0,690.0
29,1.0,1.0,1646.0,1656.0,690.0,690.0
29,1.0,1.0,1664.0,1779.0,900.0,900.0
29,1.0,1.0,1734.0,1799.0,1000.0,1000.0
29,1.0,1.0,1744.0,1819.0,865.0,865.0
29,1.0,1.0,1774.0,2291.0,730.0,730.0
29,1.0,1.0,1839.0,1864.0,900.0,900.0
29,1.0,1.0,1844.0,1909.0,1000.0,1000.0
29,1.0,1.0,1869.0,1869.0,980.0,980.0
29,1.0,1.0,1944.0,1954.0,1005.0,1005.0
29,1.0,1.0,,,900.0,900.0
29,2.0,1.0,2000.0,2525.0,1035.0,1035.0
29,2.0,1.0,1653.0,1743.0,1010.0,1010.0
29,2.0,1.0,1878.0,1928.0,1035.0,1035.0
29,2.0,1.0,1893.0,1893.0,1010.0,1010.0
29,2.0,2.0,1873.0,2577.0,1240.0,1240.0
29,2.0,2.0,1905.0,2320.0,1230.0,1230.0
29,2.0,2.0,1970.0,2415.0,1300.0,1300.0
29,2.0,2.0,1589.0,1679.0,1130.0,1130.0
29,2.0,2.0,1714.0,1764.0,1250.0,1250.0
29,2.0,2.0,1714.0,2004.0,1230.0,1230.0
29,2.0,2.0,1724.0,1789.0,1130.0,1130.0
29,2.0,2.0,1849.0,1914.0,1250.0,1250.0
29,2.0,2.0,1914.0,1989.0,1240.0,1240.0
29,2.0,2.0,1939.0,1939.0,1230.0,1230.0
29,2.0,2.0,2004.0,2004.0,1240.0,1240.0
29,2.0,2.0,2009.0,2034.0,1300.0,1300.0
30,0.0,1.0,1125.0,1320.0,366.0,366.0
30,0.0,1.0,1227.0,1623.0,430.0,430.0
30,1.0,1.0,1230.0,1530.0,540.0,540.0
30,1.0,1.0,1273.0,1515.0,790.0,790.0
30,1.0,1.0,1291.0,1591.0,655.0,655.0
30,1.0,1.0,1306.0,1656.0,754.0,754.0
30,1.0,1.0,1431.0,1634.0,760.0,760.0
30,2.0,1.0,1417.0,1930.0,845.0,845.0
30,2.0,1.5,1531.0,1901.0,894.0,894.0
30,2.0,1.5,1536.0,2056.0,960.0,960.0
30,3.0,2.0,2003.0,2385.0,1168.0,1168.0
31,1.0,1.0,1272.0,1370.0,595.0,595.0
31,1.0,1.0,1398.0,1512.0,661.0,661.0
31,1.0,1.0,1225.0,1255.0,622.0,622.0
31,2.0,1.0,1470.0,1606.0,795.0,795.0
31,2.0,1.0,1599.0,1683.0,865.0,865.0
32,1.0,1.0,1325.0,1325.0,717.0,717.0
32,1.0,1.0,1330.0,1330.0,732.0,732.0
32,1.0,1.0,1430.0,1430.0,889.0,889.0
32,2.0,1.0,1530.0,1530.0,946.0,946.0
32,2.0,1.5,1730.0,1730.0,1117.0,1117.0
32,3.0,2.0,1720.0,1720.0,1157.0,1157.0
33,0.0,1.0,1200.0,1270.0,380.0,380.0
33,0.0,1.0,1215.0,1258.0,405.0,405.0
33,0.0,1.0,1294.0,1294.0,500.0,500.0
33,1.0,1.0,1412.0,1517.0,660.0,660.0
33,1.0,1.0,1513.0,1513.0,700.0,700.0
33,2.0,1.0,2217.0,2227.0,940.0,940.0
33,2.0,1.0,2304.0,2304.0,850.0,850.0
34,1.0,1.0,1435.0,2175.0,693.0,693.0
34,1.0,1.0,1560.0,2215.0,693.0,693.0
34,1.0,1.0,1645.0,2225.0,788.0,788.0
34,1.0,1.0,1670.0,2285.0,788.0,788.0
34,1.0,1.5,1790.0,2375.0,864.0,864.0
34,1.0,1.5,,,864.0,864.0
34,2.0,1.5,1815.0,2780.0,858.0,858.0
34,2.0,1.5,1900.0,2840.0,858.0,858.0
34,2.0,2.0,1845.0,2615.0,1004.0,1004.0
34,2.0,2.0,2015.0,2745.0,1076.0,1076.0
34,2.0,2.0,,,1004.0,1004.0
34,2.0,2.0,,,1076.0,1076.0
34,2.0,3.0,2150.0,2765.0,1280.0,1280.0
34,2.0,3.0,,,1280.0,1280.0
34,2.0,3.0,,,1352.0,1352.0
34,2.0,3.0,,,1352.0,1352.0
35,0.0,1.0,1275.0,1530.0,556.0,556.0
35,0.0,1.0,1280.0,1530.0,546.0,546.0
35,0.0,1.0,1365.0,1695.0,467.0,467.0
