desc,column
Dogs Allowed,dogsallowed
Cats Allowed,catsallowed
No Pets Allowed,nopets
Pets Negotiable,petsnegotiable
Other Pets Allowed (not specified),otherpetsallowed
Birds Allowed,birdsallowed
Fish Allowed,fishallowed
Reptiles Allowed,reptileallowed
Unknown If Pets Allowed,unknownpets
